stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,3,0,3,89,0,0,0,0,0,2,4,9,69,0,0,1,0,0
 24-34,0,0,0,0,8.21,0,0,0,9.03,0,0,0.82,0,0,0,2.46,0,0,420.28,2.46,0,0,0,0,0,0.82,1.64,132.16,0,0,1.64,0,0
 36-46,0,0,1.61,0,21.75,0,0,0,8.86,0,0,0,0,0,0,2.42,0,2.42,655.81,3.22,0,0,0.81,0.81,0,0,0,128.1,0,0,0,0,0
 48-58,0,0,1.15,0,120.5,0.57,0.57,0,21.23,0,0,0,0.57,0,0,8.61,0.57,3.44,559.46,0,0,0,1.15,0,0,0.57,0,92.96,0,0.57,0,0,0
 60-70,0,0,0.98,0,240.47,0,0,0,20.61,0,0,0,0.98,0.98,0,13.74,0,3.93,574.19,0,0,0,0.98,0,0,0,0,73.61,0,0,0.98,0,0
 72-82,0,0,2.94,2.94,341.62,0,0,0,29.45,0.98,0,0,0,0,0,14.72,0,0,576.24,0.98,1.96,0,0,0,0,0,0,42.21,0,0.98,7.85,0,0.98
 84-94,0,0,5.31,1.06,214.53,0,1.06,0,21.24,0,0,1.06,1.06,1.06,1.06,14.87,1.06,0,259.14,1.06,1.06,0,0,0,0,0,0,15.93,0,1.06,8.5,0,1.06
 96-106,0,1.09,4.37,2.19,180.32,0,1.09,1.09,9.84,0,0,0,0,0,1.09,7.65,0,2.19,229.5,1.09,2.19,0,2.19,0,0,0,0,7.65,0,0,5.46,0,0
108-118,0,0,3.83,0,140.17,0,0,0,13.02,0.77,0,0,0,0,0.77,3.83,0,1.53,285.7,0,0,0,0.77,0,0,0,0,4.6,0.77,0,6.89,0.77,0
120,0,0,5.88,0,111.71,0,0,0,3.92,0,0,0,1.96,0,0,3.92,0,1.96,231.25,0,0,0,0,0,0,0,0,15.68,1.96,0,1.96,0,0
