stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,28.92,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,2,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0.82,0,0,0,0.82,27.91,0.82,0,2.46,0,0,0,0,1.64,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,4.03,0,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,45.12,0,0,0.81,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.89,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0.57,0.57,0,0,41.31,0,0,1.15,0,0.57,0,0,2.3,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,14.72,0,0,1.96,1.96,0.98,0,0.98,0.98,0,0,0,5.89,0,0.98,0.98,41.22,0,0,0,0,0,0,0,1.96,0,2.94,0.98,0
 72-82,0,0,0,0,0,0,0,10.8,0,0,0,5.89,1.96,0,0,0.98,0,0,0,1.96,0.98,0,0.98,75.59,0,0,0.98,0,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,3.19,1.06,0,8.5,0,0,0,0,8.5,0,0,1.06,0,0,0,2.12,0,0,0,22.3,0,1.06,1.06,0,1.06,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,7.65,0,0,0,1.09,4.37,0,1.09,1.09,0,0,0,1.09,1.09,0,0,21.86,0,0,0,0,0,0,0,0,1.09,4.37,0,0
108-118,0,0,0,0,4.6,0,0.77,9.19,0,0.77,0,3.83,3.06,0,0,0.77,0.77,0,0,0.77,0.77,0,0.77,32.17,0,0,2.3,0,1.53,0,0,0,0,0.77,0,0
120,0,0,1.96,0,1.96,0,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,62.71,0,0,0,0,0,0,0,0,0,0,0,0
