stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,5,0,1,0,0,0,2,0,0,1,0,0,0,3,0,6,53,1,1,2,2,1,9,1,5,21,0,0,0,0
 24-34,0.82,4.93,0.82,0,19.7,0,0.82,0,1.64,0.82,0.82,1.64,0,0,0,15.6,0,6.57,113.28,0.82,1.64,2.46,0,7.39,0,0.82,0.82,21.34,0,7.39,0,0
 36-46,0,4.83,0,0,16.11,0.81,0.81,0,0.81,0,0,0,0.81,0,0.81,8.86,0.81,0.81,34.64,0,0.81,0,0,0.81,0,0,0,13.7,0,5.64,0,0
 48-58,0,1.72,0,0,26.97,0,0.57,0.57,4.02,0,0,0,0,0,0,13.2,0.57,2.87,32.71,0,2.3,2.3,0,1.72,0,0,0,6.31,0,6.89,0,0.57
 60-70,0,6.87,0,0,14.72,0,0.98,0,3.93,0,0,0.98,0.98,0,0,21.59,0.98,0.98,37.3,0,0.98,0,0,0.98,0,0,0,4.91,0,8.83,0,0
 72-82,0,2.94,1.96,0,12.76,0,0.98,0,3.93,0,1.96,0,0,0,0.98,23.56,0,0.98,49.08,0.98,1.96,0.98,0,1.96,0,0,0,2.94,0.98,18.65,0,0
 84-94,0,2.12,0,0,15.93,0,0,0,1.06,0,0,2.12,0,0,1.06,18.05,1.06,2.12,15.93,0,4.25,0,0,3.19,0,0,0,1.06,0,11.68,0,0
 96-106,0,1.09,1.09,1.09,8.74,0,1.09,0,4.37,2.19,1.09,2.19,2.19,2.19,1.09,14.21,1.09,0,22.95,0,2.19,5.46,0,3.28,0,0,0,0,0,12.02,1.09,0
108-118,0,6.13,1.53,0,8.43,0,2.3,0,7.66,1.53,1.53,0.77,2.3,0,1.53,9.96,0.77,3.83,22.98,0,3.06,0.77,0,5.36,0,0,0,0,0,5.36,1.53,0
120,0,3.92,0,0,9.8,0,0,0,3.92,1.96,0,0,0,1.96,0,7.84,1.96,0,15.68,0,3.92,1.96,0,7.84,0,1.96,0,0,0,5.88,0,0
