stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,4,0,0,7,9,0,0,0,0
 24-34,0,0,0,0.82,0,5.75,0,0,0.82,0,0,0,0,0,0,5.75,0.82,0,4.93,50.07,0,0.82,0,0,0,4.93,0,0,0,0,16.42,0,0,1.64,0
 36-46,0,0,0,1.61,0,8.06,0,0,1.61,0,0.81,0,0,0,0,9.67,0.81,0,3.22,53.17,0,0,0.81,0,0,0.81,0,0,0,0,14.5,0,0,1.61,0
 48-58,0,0,0,2.87,0,12.05,1.15,0,6.89,0,1.72,0.57,0,0,0.57,6.31,0,0,1.72,47.05,0,0,0,0,0,0.57,0,0,0.57,0,6.89,0,0,0.57,0.57
 60-70,0,0,0,2.94,0,19.63,0,0,2.94,0,0,0.98,0,0.98,0,2.94,0,0,1.96,36.32,0,0,0,0,0,0.98,0,0.98,0,0,9.82,0,0,0.98,0
 72-82,0,0,0,0.98,0,24.54,0,0.98,3.93,0.98,0,0,0,0,0,2.94,0,0,0,34.36,0,0,0,0,0,2.94,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,14.87,0,0,2.12,0,0,1.06,0,0,0,6.37,0,1.06,0,19.12,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,8.74,0,0,2.19,0,0,0,0,0,0,4.37,0,0,1.09,13.11,0,0,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,6.13,0,0.77,3.06,2.3,0.77,0,1.53,0,0,4.6,0,0,0,9.96,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,1.96,0,5.88,0,0,7.84,0,0,0,0,0,0,9.8,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
