stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,0,0,0,0,1,0,0,1,63,0,0,0,0,0
 24-34,0,2.46,3.28,0,4.1,0.82,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,4.1,598.4,0,9.03,0,0,1.64,0,0,0.82,187.16,0,0,0.82,0,0
 36-46,0,0.81,1.61,0,15.31,1.61,0,0,2.42,0,0.81,0,0,0,0,0,0.81,4.03,0,0,0.81,1700.77,0,19.34,0,0,1.61,0,0,0,288.43,0,0,0.81,0,0.81
 48-58,0,1.15,6.31,0,112.47,1.72,1.15,0.57,35.58,0,0,0,0,0.57,0.57,0,0.57,17.79,0,1.72,4.02,2481.71,0.57,11.48,0.57,0,2.87,0,0,0,347.73,0,0,1.15,0,1.15
 60-70,0,0.98,0.98,0,390.65,0,0.98,0.98,56.93,0,0,0.98,0,0,0.98,0,0,12.76,0,7.85,3.93,3456.92,0.98,11.78,0.98,0,2.94,0,0,0,392.61,0,1.96,1.96,0.98,1.96
 72-82,0,0.98,16.69,1.96,502.61,0.98,0,0,84.42,0.98,1.96,3.93,0,0.98,0,0.98,0,22.58,1.96,3.93,3.93,2963.64,0,18.65,1.96,0,0.98,0.98,0,0,241.49,0,0.98,0.98,9.82,1.96
 84-94,0,0,22.3,1.06,357.91,0,1.06,2.12,55.23,1.06,0,0,0,0,0,1.06,0,20.18,0,3.19,6.37,1419.94,0,6.37,1.06,0,1.06,0,1.06,0,123.2,1.06,0,2.12,11.68,1.06
 96-106,0,0,19.67,3.28,241.52,0,1.09,2.19,49.18,5.46,0,1.09,0,0,0,1.09,0,15.3,0,1.09,2.19,1185.74,1.09,13.11,3.28,0,5.46,0,0,0,54.64,1.09,2.19,1.09,21.86,1.09
108-118,0,1.53,16.85,3.06,196.85,0,0.77,0.77,49.02,1.53,0,0,0.77,0,0,0.77,0,13.79,2.3,1.53,0.77,1189.54,0,7.66,0,0,3.06,0,0,0,47.49,0.77,0,1.53,8.43,0.77
120,0,0,19.6,1.96,213.62,0,5.88,1.96,52.91,0,0,3.92,0,0,0,1.96,0,17.64,0,0,0,1591.35,0,13.72,0,0,5.88,0,0,0,56.83,0,0,3.92,15.68,1.96
