stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0
 24-34,0,0.82,1.64,0,0.82,0.82,0,0,0,0.82,0,4.93,3.28,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,1.61,0,0,0.81,0.81,0,0,0,0,2.42,1.61,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,1.72,0,0,0.57,0,0,0,0.57,0.57,5.16,0,0,0.57,0,0,0,0,1.15,0,0
 60-70,0,0.98,13.74,0,0.98,1.96,0,0,0,2.94,0,27.48,0.98,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,28.47,0,0,0.98,0,0,0.98,0,0,24.54,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,1.06,18.05,0,0,1.06,0,0,0,3.19,1.06,15.93,1.06,1.06,0,0,1.06,1.06,0,0,0,1.06
 96-106,0,0,29.51,1.09,0,1.09,0,0,0,1.09,0,10.93,0,0,0,0,0,0,0,0,0,0
108-118,0.77,1.53,19.15,0,0.77,5.36,0,0.77,0,0.77,0,20.68,0,0.77,1.53,0,0,0,0,0.77,0.77,0
120,0,0,23.52,0,0,3.92,0,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0
