stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,7.89,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,12.59,0,0,40.91,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,6,32,5,0,6,0,2,0,3,0,1,1,0,0,0,0,0,0,7,0,0,6,27,169,1,0,10,0,1,2,3,8,5,17,0,0,0,0,0
 24-34,0,0.82,0.82,22.98,0.82,0,20.52,0,9.03,1.64,2.46,0,0,0.82,0,0,0,0,0,0.82,26.27,0,0,6.57,112.46,128.87,4.1,4.1,0,0.82,0,0.82,0,11.49,4.1,27.09,0,0,2.46,0,0
 36-46,0,0,0,8.86,0,0,13.7,0,4.03,1.61,14.5,0,0,0,0,0,0,1.61,0,0,44.31,0,0,8.06,124.88,82.18,9.67,1.61,0,0,0,0,0,3.22,0,14.5,0,0,0.81,0,0
 48-58,0,0,0,5.16,0.57,0,56.23,0,5.74,3.44,18.94,0,0,0.57,0,0,0,1.15,0,1.72,64.84,0,0,5.74,98.12,52.79,4.02,2.87,0,0,0.57,0,0,3.44,0,16.07,0,1.15,2.87,0,0.57
 60-70,0,0.98,0,4.91,0.98,0,131.52,0,7.85,3.93,32.39,0.98,0,0.98,0,1.96,0,1.96,0.98,1.96,89.32,0,1.96,5.89,120.73,31.41,1.96,2.94,0,0.98,0,0,0,8.83,0,11.78,0,0.98,0.98,0,0.98
 72-82,0,0,0,15.71,2.94,0,182.59,0.98,9.82,3.93,50.06,0.98,0,0,1.96,0.98,0,2.94,0,0,139.4,0.98,5.89,4.91,153.14,32.39,5.89,8.83,0,0,0.98,0,0,6.87,0,4.91,0,2.94,1.96,0.98,0
 84-94,0,1.06,0,20.18,1.06,3.19,183.73,0,10.62,5.31,31.86,0,0,0,3.19,3.19,0,1.06,0,2.12,89.21,1.06,4.25,2.12,65.85,39.3,6.37,6.37,0,1.06,3.19,0,0,15.93,0,5.31,0,2.12,2.12,2.12,0
 96-106,0,0,0,26.23,2.19,1.09,187.97,0,16.39,1.09,49.18,5.46,0,0,3.28,3.28,1.09,1.09,0,0,103.82,2.19,3.28,7.65,76.5,41.53,16.39,12.02,0,3.28,0,0,0,13.11,0,3.28,4.37,4.37,1.09,2.19,1.09
108-118,0,0,0,26.04,0,26.81,147.06,0,18.38,3.83,48.26,4.6,0,1.53,3.83,5.36,0,2.3,0,4.6,72.77,0,8.43,3.06,91.15,55.15,6.13,8.43,0,3.06,2.3,0,0,10.72,0,3.06,1.53,0.77,2.3,0,0
120,0,0,0,33.32,3.92,17.64,123.47,0,19.6,1.96,41.16,11.76,0,0,7.84,0,0,3.92,3.92,1.96,64.67,1.96,9.8,5.88,111.71,50.95,11.76,1.96,0,1.96,0,0,0,11.76,0,3.92,1.96,0,3.92,1.96,0
