stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,52,0,2,0,0,0,0,0,1,2,23,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,0,9.85,0,0.82,0,0.82,0,0,1.64,0,0,0,0.82,0.82,0,9.85,0,2.46,344.76,0,17.24,0.82,0,1.64,0,0,0.82,0,119.84,0,0,9.85,0,0
 36-46,0,0,0,0,2.42,0,0,37.87,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0.81,12.09,0.81,0,749.27,0,35.45,0.81,0,0.81,0,0,0,0,199,0,0,3.22,0,0.81
 48-58,0,0,0,0,1.72,0.57,0,165.26,0.57,1.15,0,8.61,0,0,0.57,0,0,0.57,0,0,0.57,10.9,0,1.72,857.26,0.57,23.53,0,0,2.87,0,0,0,0,189.36,0,0,2.3,0,1.72
 60-70,0,0,0,0,2.94,0,0,696.88,0.98,0,0,23.56,0,0,0,0.98,0,0,0.98,0,0,21.59,2.94,0.98,1076.73,0,27.48,0.98,0,0.98,0,0,0,0,190.42,0,0.98,1.96,0,0.98
 72-82,0,0,0.98,0,5.89,1.96,0,1201.55,0,1.96,3.93,43.19,0.98,0,0.98,2.94,0,0.98,0,0.98,0.98,58.9,1.96,1.96,1014.06,0,44.17,2.94,0,1.96,0,0,0,0,101.11,0,1.96,5.89,1.96,7.85
 84-94,0,0,0,0,5.31,2.12,0,786.97,0,0,1.06,36.11,1.06,0,0,2.12,1.06,3.19,0,0,1.06,22.3,3.19,5.31,528.89,0,37.17,5.31,0,5.31,0,0,0,0,46.73,2.12,2.12,8.5,0,1.06
 96-106,0,0,0,0,9.84,2.19,0,907.06,1.09,6.56,0,34.97,3.28,0,0,1.09,0,2.19,2.19,2.19,0,38.25,4.37,1.09,442.6,0,54.64,5.46,4.37,6.56,0,0,0,0,20.76,2.19,4.37,7.65,3.28,1.09
108-118,0,0,0,0,11.49,1.53,0.77,566.05,0,3.83,0,34.47,1.53,0,1.53,3.06,0,2.3,2.3,2.3,1.53,34.47,0,5.36,540.77,0,37.53,6.13,0.77,2.3,0,0.77,0,0,13.79,2.3,1.53,5.36,2.3,2.3
120,0,0,0,0,11.76,1.96,0,399.8,0,0,1.96,23.52,0,0,1.96,0,1.96,0,3.92,0,0,23.52,1.96,1.96,415.47,0,23.52,1.96,1.96,5.88,0,3.92,1.96,0,9.8,0,5.88,3.92,1.96,0
