stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,2,0,2,0,0,1,0,0,0,0,5,1,19,0,0,0,0,1,0,3,3,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0.82,0,7.39,0,0,0.82,0,0.82,0.82,0,2.46,0.82,0
 36-46,0,0,0,2.42,0,0,0.81,0,0,0.81,0,3.22,0.81,18.53,0,0.81,0,0,0,0,0,7.25,1.61,0
 48-58,0,0,0,2.3,0,0,0,0,0,0.57,0,0.57,0,8.61,0.57,0.57,0,0,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,7.85,0.98,0,0.98,0,0,0,0,2.94,0.98,2.94,0,2.94,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,4.91,0,0.98,0,0,0,0,0,3.93,0,3.93,0,0.98,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,2.12,0,4.25,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,1.09,1.09,0,0,3.28,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0,2.3,0,0,0,0.77,0,0,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0
