stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,42.68,0,0.82,0.82,0,0,0,0,0,0,6.57,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,1.61,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0,0,137.77,0,0.81,0.81,0,0,0,0,0,0,15.31,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,7.46,0,0.57,2.3,0,0.57,0,0,0,1.15,0,0.57,1.15,0,155.5,0,1.15,1.15,0,0.57,0,0,0.57,0,21.23,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,20.61,0,0,2.94,0,0,0,0,0,2.94,0,0,1.96,0,361.2,0,0.98,0.98,0,0,0,0,0,0,64.78,0,0,0.98,0,0
 72-82,0,0.98,0,1.96,0.98,0,121.73,0.98,1.96,8.83,0,0,0,0,0,9.82,0,0,10.8,0.98,554.64,0,1.96,7.85,0,0,0,0,0,0,61.84,0.98,0.98,0.98,0,0.98
 84-94,0,1.06,0,1.06,1.06,0,101.96,0,2.12,8.5,0,0,0,0,1.06,11.68,1.06,0,7.43,0,283.56,0,1.06,6.37,0,4.25,0,0,0,0,23.36,1.06,1.06,1.06,0,0
 96-106,0,1.09,0,5.46,2.19,0,139.88,0,0,15.3,0,0,1.09,0,0,25.14,0,0,9.84,1.09,285.23,1.09,1.09,10.93,0,4.37,1.09,0,0,0,8.74,3.28,0,3.28,1.09,0
108-118,0,0,0.77,9.96,0.77,0.77,126.38,0,0,16.85,0.77,0,0.77,0.77,1.53,10.72,0,0,7.66,0,379.92,0.77,0.77,4.6,0,0,0,0,0,0,19.15,0.77,0.77,0,0.77,0
120,0,0,0,1.96,1.96,0,115.63,1.96,1.96,23.52,1.96,0,0,0,0,15.68,1.96,0,3.92,0,470.35,0,3.92,11.76,0,1.96,0,0,0,0,13.72,0,0,0,1.96,0
