stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,4,1,5,5,0,1,0,0,1,0,0,10,0,0,2,0,19,0,3,46,0,0,0,1,0,0,6,1,14,0,0,0,0
 24-34,0,0,11.49,0,2.46,0.82,0,2.46,0.82,1.64,0.82,0,0,45.15,1.64,0,5.75,3.28,5.75,0,0.82,89.47,0,2.46,0,0,0,0,26.27,0.82,18.88,0,0,9.03,0
 36-46,0,0,8.86,0,0.81,0.81,0,2.42,1.61,9.67,0,0,0,72.51,0,0,3.22,3.22,4.03,0,0,103.93,0,0.81,0,0,0,0,22.56,0,20.14,0,0.81,5.64,0
 48-58,0,0,1.72,0,0.57,0,0,2.3,1.15,13.2,0,6.31,0.57,68.86,2.3,0.57,2.3,1.15,4.02,0,0,40.74,0,0.57,0,0,0,0,9.75,0,9.18,0,0,12.62,0
 60-70,0,0,3.93,0,0.98,0,0,1.96,0.98,17.67,1.96,1.96,0,106,2.94,0,0.98,0,14.72,0,0.98,16.69,0,0,0.98,0,0,0,22.58,0,3.93,0,0,11.78,0
 72-82,0,0,7.85,0,0.98,1.96,0,10.8,1.96,6.87,34.36,0.98,0,95.22,4.91,0,4.91,0,15.71,0,0.98,29.45,0,0,0,0,0,0,50.06,0,0.98,0,0,20.61,0
 84-94,0,0,10.62,1.06,1.06,1.06,0,11.68,4.25,9.56,73.28,3.19,0,147.62,7.43,0,0,1.06,22.3,0,1.06,10.62,0,1.06,2.12,0,0,2.12,92.4,0,0,1.06,0,21.24,0
 96-106,0,0,12.02,0,3.28,3.28,0,8.74,1.09,7.65,224.03,0,0,145.35,17.49,0,0,0,20.76,0,2.19,40.44,0,0,0,0,0,6.56,113.66,0,1.09,1.09,0,30.6,0
108-118,0,0,10.72,0,5.36,0.77,0,5.36,0.77,4.6,276.51,0,0,119.49,26.04,0,1.53,0,25.28,0.77,0,30.64,1.53,0,0,0,0.77,0.77,111.83,0,2.3,0.77,0,18.38,0.77
120,0,0,7.84,0,1.96,0,1.96,1.96,0,1.96,146.98,0,0,184.22,5.88,0,1.96,0,21.56,0,0,17.64,0,1.96,0,0,0,3.92,68.59,0,1.96,0,0,9.8,0
