stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,2,0,0,1,1,1,0,32,0,0,0,0,0
 24-34,0,1.64,0.82,5.75,0,9.85,0,0,0.82,2.46,0,0,0,0,0,0,0,4.1,0,0,3.28,116.56,2.46,0.82,5.75,0,0,0,5.75,0,0.82,59.1,0,0,0,0,0
 36-46,0,0,0,3.22,0,28.2,0,0.81,0,4.03,0,0,0,0,0,0,0,3.22,0,0,0.81,77.34,3.22,2.42,0.81,0,0,0.81,0.81,0,0,48.34,0,0,0,0,0
 48-58,0,0,0,0.57,0,94.68,1.15,0,0,10.9,0,0,0,0,0,0.57,0,1.72,0,0,0,100.99,0,2.3,1.15,0.57,0.57,0.57,2.3,1.15,0,48.2,0,0.57,0,0,0
 60-70,0,0,0,0,0,417.15,0,0.98,0,18.65,0,0.98,0,0,0,0,0,3.93,0,0.98,0.98,176.67,0.98,3.93,2.94,0,0,0.98,0.98,0.98,0,54.97,0,0,1.96,0,0.98
 72-82,0,0,0,2.94,0,714.65,0,0,0.98,36.32,0,0.98,0.98,0,0.98,0.98,0,11.78,0.98,0,0,187.5,0,4.91,9.82,0,0,1.96,0,0.98,0,43.19,0.98,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,481.1,0,0,1.06,14.87,0,0,0,4.25,0,1.06,0,10.62,2.12,1.06,0,143.38,1.06,4.25,21.24,0,0,3.19,0,2.12,0,19.12,0,1.06,3.19,2.12,0
 96-106,0,0,0,1.09,2.19,379.22,1.09,0,1.09,20.76,2.19,1.09,2.19,4.37,1.09,2.19,2.19,9.84,2.19,0,2.19,102.73,0,3.28,15.3,0,0,12.02,1.09,1.09,0,12.02,3.28,1.09,0,1.09,2.19
108-118,0,0.77,0,4.6,0,216,0.77,0.77,0,13.79,0.77,0,3.06,3.06,0.77,1.53,0,10.72,0,0.77,0.77,114.13,0,3.83,9.19,0,0,7.66,0,3.83,0,12.26,0.77,0,0,0.77,0.77
120,0,1.96,0,7.84,0,186.18,1.96,3.92,0,13.72,1.96,0,1.96,0,0,1.96,0,9.8,0,0,3.92,162.66,0,5.88,5.88,0,0,5.88,0,1.96,0,23.52,0,0,0,3.92,0
