stage,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,2
 24-34,0.82,0.82,0,0,0.82,0,0,0,0,0.82,7.39,0,0,4.1
 36-46,0,1.61,0,0,0,0,0,0,0,0,15.31,0,1.61,2.42
 48-58,0,5.16,0,0.57,0,0,0,0,0,0,18.36,0,0,4.02
 60-70,0,3.93,0,0,0,0,0,0,0,0.98,12.76,0,0,3.93
 72-82,0,3.93,0.98,0,0.98,0,0,0,0,0,10.8,0,0,0
 84-94,0,4.25,0,0,0,0,1.06,1.06,0,0,7.43,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0,7.65,1.09,1.09,0
108-118,0,5.36,0,0,0,0.77,0,0,0.77,0,6.89,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96
