stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,8,0,2,0,0,0,0,0,0,0,0,0,0,2,10,0,0,6,18,4,0,0,1,0,7,9,2,12,9,0,0,1,0,1
 24-34,0,0,0,4.93,0,0,4.1,0,0,0.82,1.64,0,0.82,0,0.82,0,0,0,13.95,0.82,0,7.39,35.3,0,3.28,0,0,0,6.57,0.82,0.82,3.28,5.75,0,0,4.1,0,0
 36-46,0,0,0,0.81,0,0,7.25,0,0,4.03,4.83,0,0,0,0,0,0,0,10.47,0.81,1.61,1.61,67.68,0,1.61,3.22,0,0,4.03,0,0.81,0,16.11,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,14.35,0,0,1.15,3.44,0,0,0,0,0,0,0,14.35,0,0,1.15,61.97,0,3.44,1.72,0,0,2.3,0,0,0,9.18,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,39.26,0.98,0.98,1.96,8.83,0.98,0.98,0,0,0,0.98,0,13.74,0.98,0.98,0.98,108.95,0.98,0.98,0.98,0,0.98,2.94,0,0,0,6.87,0,0.98,4.91,0,0
 72-82,0,0,0,8.83,0.98,0,36.32,0,0,2.94,7.85,0.98,0,0,0.98,0,1.96,0,27.49,0.98,0,0.98,118.78,0,2.94,0.98,0,0.98,6.87,0,0,0,6.87,0,1.96,0.98,0,0.98
 84-94,0,1.06,0,5.31,1.06,0,24.43,0,0,3.19,4.25,3.19,0,4.25,2.12,1.06,1.06,1.06,16.99,0,2.12,1.06,79.65,0,1.06,2.12,0,0,21.24,0,0,0,6.37,1.06,1.06,1.06,0,0
 96-106,0,0,0,3.28,2.19,0,19.67,0,0,0,4.37,0,1.09,1.09,1.09,0,2.19,0,16.39,1.09,0,0,52.46,0,1.09,4.37,0,1.09,13.11,0,0,0,1.09,2.19,0,4.37,1.09,1.09
108-118,0,2.3,0,6.13,0.77,0,11.49,0,0,0,6.13,1.53,1.53,3.06,3.06,0,0.77,0.77,14.55,0,2.3,0,47.49,0,1.53,2.3,0,2.3,7.66,0,0,0,0.77,0,0.77,1.53,0,2.3
120,0,0,0,7.84,1.96,1.96,7.84,0,0,0,1.96,1.96,0,1.96,0,1.96,0,0,9.8,0,0,1.96,52.91,0,1.96,0,0,0,13.72,0,0,0,0,0,0,3.92,0,0
