stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,39.53,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,380.04,6.13,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,24.52,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,52.57,2.63,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,3,0,0,1,0,2,2,0,1,12,0,0,0,0,1,1,1,7,7,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0.82,0,1.64,0,0,0,1.64,2.46
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,15.31,0,0,0,0,1.61,0,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,1.72,0,0,0,0,0,0.57,0,0,21.8,0,0,0,0,0.57,0,0,0,4.02,0
 60-70,0,0,0,0,0,2.94,0,0,0.98,0,0,1.96,0,0,37.3,0,0.98,0,0,0.98,0,0,0,1.96,0.98
 72-82,0,0,0,0,0,15.71,0.98,0.98,2.94,0,0,2.94,0.98,0,40.25,0,1.96,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,1.06,0,5.31,0,0,0,0,0,3.19,0,0,16.99,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,14.21,0,0,0,0,0,1.09,0,0,14.21,0,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,9.96,0,0,0.77,0,0,0.77,0,0,19.92,0,0.77,0,0,3.06,0,0,0,0,0.77
120,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,19.6,0,0,0,0,1.96,0,0,0,0,0
