stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,2.46,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,1.15,0.57,0,0,0,4.59,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,6.87,0,0,0,0,0,0,0.98,0,0,99.15,4.91,0,0,0,12.76,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0,0,377.02,2.12,0,0,0,15.93,0,0,0,0,0,5.31,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,2.19,0,16.39,0,0,2.19,2.19,1.09,1.09,2.19,1.09,0,630.57,16.39,2.19,0,1.09,84.15,0,0,0,0,0,2.19,0,1.09,1.09,1.09,0,0,1.09
108-118,0,0,3.06,2.3,2.3,14.55,0.77,1.53,3.83,2.3,0.77,2.3,0.77,1.53,2.3,1356.52,19.15,0,1.53,0,75.06,0,0.77,2.3,0,0.77,5.36,2.3,2.3,0,0,0,2.3,2.3
120,0,0,3.92,0,0,15.68,0,0,5.88,3.92,0,1.96,0,0,1.96,678.09,3.92,0,0,1.96,48.99,1.96,1.96,3.92,0,0,1.96,0,0,0,0,1.96,0,1.96
