stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,1,0,0,0,0,2,0,0,0,2,0,0,2,1,1,0,0,0,3,4,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,1.64,0,0,0,4.93,0,0,0,0,0,0.82,8.21,0,1.64,0,0,0,3.28,7.39,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,4.83,0,0,0,0.81,0,0,9.67,0,0,0,0,0,1.61,3.22,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,5.16,0,0,8.61,0.57,0,0,1.72,0,0,13.77,0,0.57,0,0,0,0.57,4.02,0,0,0
 60-70,0,0,0,0,0,0,1.96,12.76,0,0,17.67,0.98,0.98,0,5.89,0.98,2.94,13.74,0,0,0,0.98,0,0.98,5.89,0,0,0
 72-82,0,0,0,0,0,1.96,6.87,51.05,0.98,0,21.6,0,1.96,0,20.61,0.98,0,28.47,0,0,0,0,0,0,2.94,0.98,0,0
 84-94,0,0,0,0,0,1.06,3.19,20.18,0,0,32.92,1.06,0,0,2.12,2.12,1.06,18.05,0,4.25,0,0,0,1.06,2.12,0,1.06,0
 96-106,0,0,0,0,3.28,0,1.09,33.88,1.09,1.09,41.53,0,6.56,0,5.46,1.09,0,14.21,0,3.28,0,1.09,0,3.28,1.09,0,0,0
108-118,0,0,0.77,0.77,0.77,0.77,1.53,26.04,0,0,28.34,0.77,0.77,0,8.43,0,0,13.79,0,1.53,0,0,0.77,0,0.77,0,0.77,0.77
120,0,0,0,0,1.96,1.96,1.96,9.8,0,0,39.2,5.88,0,1.96,3.92,0,0,19.6,0,1.96,0,0,0,0,0,0,3.92,0
