stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,84.12,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,31.47,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.49,0,0,0,66.09,0,0,9.44,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,1,3,7,2,4,0,0,0,12,1,0,1,0,0,0,0,3,0,0,2,184,2,3,1,1,0,1,0,10,7,3,139,0,0,0,0,0
 24-34,0,0,1.64,0,5.75,0.82,37.76,0,0,0,28.73,1.64,0,1.64,0,0.82,0,0.82,18.06,0,0,7.39,719.89,2.46,29.55,2.46,0,0,0.82,0.82,0,3.28,2.46,276.63,0,0,0.82,0,0.82
 36-46,0,0,0,0,4.83,0,152.27,0,0,0.81,56.4,0.81,0,0,0,0,0,0,40.28,0,0.81,4.83,609.09,0.81,26.59,2.42,0,0.81,0,0,0,4.03,0,239.28,0,0.81,0.81,0,0
 48-58,0,0,0,0,2.3,0,346.58,0,0,0,84.35,0,0,0,0,0.57,0,0,60.25,0,1.15,6.31,251.9,0,13.2,4.59,0,0.57,1.15,0,0,0.57,0,123.94,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,624.25,0,0.98,0,63.8,0,0,0,2.94,0.98,0,0,68.71,0.98,1.96,4.91,111.89,0,17.67,3.93,0,0.98,1.96,0,0,0,0,39.26,0,0,0,0,0
 72-82,0,0,2.94,0,1.96,0,415.24,0.98,0,0.98,71.66,2.94,0,2.94,0,0,0,0,66.75,0,0,2.94,87.37,0,31.41,4.91,0,0,0.98,0,0,0,0,10.8,0,0.98,0.98,1.96,0
 84-94,0,0,3.19,1.06,5.31,0,400.39,1.06,0,2.12,43.54,2.12,0,3.19,0,0,0,0,49.92,0,7.43,4.25,63.72,0,19.12,4.25,0,1.06,2.12,0,0,2.12,0,7.43,2.12,1.06,0,1.06,0
 96-106,0,0,0,0,3.28,0,234.96,0,0,0,43.71,4.37,0,0,2.19,0,1.09,0,32.79,0,2.19,2.19,56.83,0,22.95,4.37,0,0,2.19,0,0,1.09,0,6.56,1.09,1.09,0,2.19,0
108-118,0,0,0.77,0,2.3,0,162.38,0,0,0.77,45.19,0.77,0,0,0,0,0,0.77,29.87,0,0.77,0.77,70.47,0,19.92,3.83,0,0,0.77,0,0,1.53,0,7.66,0.77,2.3,0.77,0.77,0
120,0,0,0,0,3.92,1.96,146.98,0,0,0,43.12,0,0,0,0,0,0,0,13.72,0,0,1.96,64.67,0,27.44,0,0,0,0,0,0,0,0,7.84,0,1.96,0,0,0
