stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,13,331,70,0,25,0,0,0,6,4,2,4,1,9,0,0,1,0,60,1,0,38,264,14,1,9,4,0,35,1,55,7,20,162,78,0,0,18,0,0
 24-34,0,0,4.93,277.45,9.03,0,41.04,0.82,21.34,2.46,4.1,0.82,1.64,7.39,3.28,6.57,0,3.28,1.64,2.46,79.62,6.57,0,27.91,402.22,9.85,5.75,4.93,0,0,108.35,0,0,5.75,4.1,20.52,73.06,0,0,77.98,0,1.64
 36-46,0,0.81,2.42,132.94,2.42,0,130.52,0.81,24.17,0,14.5,0.81,0.81,4.83,2.42,2.42,0,1.61,0,1.61,74.93,2.42,0.81,31.42,782.3,6.45,4.83,3.22,0,0.81,70.9,0.81,0.81,6.45,0.81,0,131.32,0,0,50.76,0,4.03
 48-58,0,0,1.15,93.53,1.72,0,333.38,1.15,30.41,7.46,44.76,2.87,0.57,7.46,4.59,1.15,0.57,2.3,0,2.87,137.71,5.74,5.16,26.4,928.42,2.87,3.44,3.44,0,0.57,47.05,0,0,3.44,1.72,0.57,159.52,0,0.57,47.63,0,5.16
 60-70,0,3.93,0,96.19,2.94,0,558.49,1.96,28.46,3.93,44.17,6.87,0.98,2.94,9.82,2.94,0,0,2.94,1.96,162.93,6.87,4.91,19.63,1001.15,5.89,0.98,1.96,0,1.96,46.13,0,0,3.93,2.94,0,128.58,0.98,6.87,49.08,0.98,3.93
 72-82,0,12.76,0,120.74,5.89,0.98,379.9,1.96,42.21,8.83,53.01,18.65,0,13.74,16.69,3.93,1.96,5.89,3.93,0.98,203.2,10.8,13.74,39.27,776.49,0.98,0.98,7.85,0,5.89,35.34,0,0,2.94,0.98,0,76.57,3.93,8.83,73.62,7.85,6.87
 84-94,1.06,3.19,0,184.79,7.43,1.06,195.41,3.19,48.85,5.31,28.68,42.48,3.19,6.37,24.43,6.37,11.68,4.25,4.25,1.06,124.26,10.62,16.99,16.99,343.04,6.37,5.31,5.31,0,0,115.76,0,0,6.37,0,0,35.05,5.31,10.62,59.47,5.31,2.12
 96-106,0,7.65,1.09,159.56,7.65,8.74,158.46,3.28,38.25,7.65,45.9,37.16,0,9.84,26.23,9.84,4.37,5.46,1.09,3.28,121.31,13.11,2.19,16.39,348.62,4.37,10.93,8.74,0,3.28,98.36,1.09,0,5.46,1.09,0,14.21,8.74,6.56,64.48,12.02,8.74
108-118,0,3.06,1.53,176.17,9.19,17.62,145.53,1.53,54.38,4.6,26.81,50.55,0,3.83,28.34,6.89,9.96,6.89,3.83,0,103.41,6.13,12.26,23.74,343.15,3.83,12.26,5.36,0,5.36,51.32,0.77,0,3.83,0,0,12.26,12.26,3.83,46.72,6.13,3.83
120,1.96,1.96,0,170.5,15.68,3.92,158.74,0,54.87,3.92,25.48,35.28,0,5.88,21.56,0,1.96,0,5.88,0,52.91,3.92,5.88,27.44,319.45,3.92,9.8,5.88,0,1.96,43.12,1.96,0,3.92,1.96,0,17.64,1.96,7.84,33.32,3.92,1.96
