stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,23.66,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,9.44,0,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,113.29,31.47,0,0,53.5,0,0,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,4,42,66,0,15,0,0,0,1,4,2,7,0,0,0,0,0,0,29,0,0,27,79,16,0,1,0,0,2,1,21,1,14,92,28,0,0,26,0,0
 24-34,0,0,2.46,30.37,5.75,0,26.27,0,4.93,0,2.46,0,0,7.39,0.82,0.82,0,4.1,0,0.82,80.44,0,0,59.1,91.94,9.03,0,6.57,0,0,9.03,0,0,1.64,7.39,18.06,18.88,0,0,94.4,0,0.82
 36-46,0,0,0,14.5,1.61,0,19.34,4.03,4.03,3.22,6.45,0.81,0.81,8.86,0,0,0,3.22,0.81,1.61,74.12,0.81,1.61,26.59,63.65,5.64,1.61,5.64,0,0,11.28,0.81,0,1.61,4.83,0.81,17.72,0,0,28.2,0,0.81
 48-58,0,0,0,10.9,1.15,0,22.38,5.16,4.02,4.02,17.21,0,0,2.87,0,0.57,0,2.3,0,2.3,90.66,1.72,8.03,26.4,77.46,4.02,0.57,2.87,0,1.15,9.75,0,0,0.57,3.44,0,16.64,0,1.72,28.12,0,0.57
 60-70,0,0,0,10.8,0.98,0,22.58,0.98,3.93,1.96,24.54,0.98,0,4.91,0,0.98,0.98,5.89,0.98,1.96,111.89,0.98,9.82,14.72,83.43,0.98,0.98,5.89,0,0.98,7.85,0,0,0,0.98,0,13.74,0,4.91,23.56,3.93,0.98
 72-82,0,0,0,21.6,0,0,26.5,1.96,6.87,8.83,51.05,1.96,0,8.83,0,0,1.96,5.89,0.98,0.98,196.33,1.96,11.78,27.49,103.07,4.91,1.96,5.89,0,2.94,12.76,0,0,0.98,0,0,11.78,0.98,6.87,55.95,16.69,3.93
 84-94,0,0,1.06,40.36,2.12,1.06,37.17,3.19,13.81,4.25,22.3,9.56,0,5.31,0,1.06,1.06,5.31,0,3.19,106.2,1.06,11.68,18.05,69.03,2.12,2.12,6.37,0,3.19,37.17,0,0,1.06,0,0,7.43,0,10.62,30.8,13.81,2.12
 96-106,0,0,0,33.88,1.09,2.19,42.62,6.56,17.49,2.19,42.62,5.46,0,4.37,7.65,0,2.19,8.74,2.19,2.19,112.56,3.28,7.65,17.49,79.78,4.37,0,10.93,0,6.56,34.97,0,0,1.09,2.19,0,4.37,0,15.3,36.06,21.86,1.09
108-118,0,0,0,49.79,2.3,3.06,34.47,2.3,16.09,3.83,26.04,6.89,0,1.53,3.83,1.53,3.83,5.36,4.6,6.13,102.64,1.53,6.89,15.32,71.23,3.06,2.3,7.66,0,2.3,22.98,0,0,0.77,3.06,0,9.96,0,10.72,26.81,5.36,0
120,1.96,0,0,45.08,0,0,31.36,7.84,11.76,1.96,50.95,11.76,0,1.96,1.96,1.96,0,3.92,3.92,1.96,90.15,0,3.92,17.64,105.83,3.92,3.92,3.92,1.96,0,19.6,0,0,1.96,0,0,7.84,0,13.72,39.2,17.64,1.96
