stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,mesenchyme,mural.cell,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,7.89,0,0,0,0,0,0,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0,1.53,0.77,0
120,0,0,0,1.96,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0
