stage,endoderm,epidermis,eye,glial,gut,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,2.46,0,0.82,0,0,4.1,0
 36-46,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,0,3.22,0
 48-58,0,1.72,1.15,1.72,0,0,0,0,0,0,0,1.72,0,0.57,0.57,0,1.72,0
 60-70,0,0.98,0,0,0,0.98,0,0,0.98,2.94,0,0.98,0,0,0,0,2.94,0
 72-82,0,0.98,0.98,0.98,0,0,0,0.98,0,2.94,0,1.96,0.98,0,1.96,0.98,1.96,0.98
 84-94,0,2.12,1.06,4.25,1.06,0,0,1.06,0,4.25,0,2.12,0,0,1.06,0,0,0
 96-106,0,4.37,0,3.28,0,0,0,2.19,1.09,2.19,0,2.19,0,2.19,2.19,0,1.09,0
108-118,0,3.06,0.77,1.53,2.3,0,0.77,0,0,3.06,0.77,3.83,0.77,0,0.77,0,0,0.77
120,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0
