stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,immune,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,5.64,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,2.87,0,0,0,0,10.33,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,3.93,0,0,0,0,6.87,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,0,2.94,0,1.96,6.87,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,2.12,0,3.19,0,0,6.37,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,3.28,0,9.84,1.09,1.09,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,15.32,0.77,1.53,3.83,0,0,0,0,0,0,1.53,0
120,0,0,0,0,0,21.56,0,0,5.88,0,0,1.96,0,0,0,0,0
