stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,3,50,14,0,29,0,0,0,9,3,0,1,0,2,0,0,1,1,22,0,0,15,336,2,4,8,14,0,2,53,4,3,53,134,0,0,5,0,0
 24-34,0,1.64,6.57,2.46,0,57.46,0,0,1.64,16.42,0.82,0,0,0,3.28,0,0.82,0.82,0,43.51,0,0,18.06,629.6,5.75,9.03,8.21,0,0,6.57,0,2.46,0,9.03,158.43,0,0,10.67,0,0
 36-46,0,0,3.22,0,0,132.94,0,1.61,3.22,19.34,0.81,0,0,0.81,0,0,0.81,0,3.22,45.92,0,0,16.92,688.04,2.42,11.28,1.61,0,0.81,7.25,0.81,0,0,0,182.08,0,0,9.67,0,1.61
 48-58,0,0,5.16,0,0,188.78,0.57,1.72,4.59,40.74,1.15,0,1.72,0,0.57,0,2.3,0.57,1.72,70.58,0,2.3,8.61,550.28,1.72,5.16,3.44,0,0,9.18,0.57,0,0.57,0,122.22,0,0.57,5.16,0,2.3
 60-70,0,0,3.93,0,0,254.21,0,3.93,1.96,43.19,0,0,0.98,0,0,0,0.98,0,0,63.8,0,0.98,7.85,589.89,0.98,2.94,1.96,0,0.98,5.89,0,0.98,0,0,76.56,0,2.94,1.96,0,0
 72-82,0,0,3.93,3.93,0,231.67,0.98,0.98,2.94,57.92,1.96,0,0,2.94,0,0.98,0.98,0.98,0,106.02,0.98,4.91,18.65,468.25,0,9.82,2.94,0,0.98,4.91,0,0,0,0,39.27,0.98,0.98,11.78,1.96,0
 84-94,2.12,0,13.81,3.19,0,156.12,1.06,0,3.19,31.86,2.12,1.06,1.06,6.37,1.06,1.06,0,0,1.06,75.4,0,3.19,5.31,279.32,0,1.06,6.37,0,1.06,24.43,0,1.06,0,0,29.74,3.19,2.12,3.19,2.12,2.12
 96-106,0,0,9.84,6.56,0,120.21,0,3.28,3.28,36.06,7.65,0,0,5.46,3.28,4.37,4.37,1.09,3.28,64.48,1.09,2.19,9.84,193.43,1.09,7.65,9.84,0,0,15.3,0,0,0,0,14.21,1.09,1.09,10.93,0,2.19
108-118,1.53,0.77,15.32,3.06,0.77,85.02,0,5.36,3.83,28.34,3.06,0,0.77,4.6,2.3,1.53,1.53,0.77,1.53,53.62,0,1.53,6.89,274.21,3.83,4.6,3.83,0,0.77,19.92,0,0,0,0,8.43,0.77,0.77,8.43,2.3,0.77
120,0,0,19.6,1.96,1.96,68.59,0,1.96,3.92,23.52,5.88,0,0,5.88,3.92,1.96,3.92,1.96,0,33.32,0,0,5.88,188.14,3.92,1.96,7.84,0,1.96,1.96,0,0,0,0,3.92,1.96,1.96,5.88,3.92,0
