stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,1,1,0,0,0
 24-34,0,18.06,0,0,4.93,0,1.64,1.64,0,0,0,0,0,0.82,0,0.82,12.31,0,0.82,0.82,0,0.82,0,0,3.28,0,0,0
 36-46,0,3.22,0,0,8.06,0,0,0,0,0,0,0,0,0.81,0,0,18.53,0,0,0,0,0,2.42,0,2.42,0,0,0
 48-58,0,0,0,0,17.21,0.57,0.57,1.15,0,0,0,0,0,0,0.57,1.15,30.41,0,0,0,0,0,1.15,0,1.15,0,0,0
 60-70,0,1.96,0,0,41.22,0,0.98,1.96,0,0,0,0,0,0.98,0.98,0,31.41,0,0,0,0,1.96,0.98,0,3.93,2.94,0,0
 72-82,0,0.98,0.98,0,41.23,0,2.94,4.91,0.98,0,0,0,0,7.85,0,0.98,51.05,0,0,0.98,0,0,1.96,0,2.94,0.98,0,0
 84-94,0,8.5,0,0,56.29,0,0,4.25,0,2.12,1.06,0,0,5.31,0,1.06,19.12,0,0,4.25,0,2.12,3.19,0,0,1.06,0,0
 96-106,1.09,5.46,0,0,61.2,0,1.09,5.46,0,1.09,0,0,0,8.74,0,0,29.51,0,0,0,0,2.19,1.09,0,0,0,1.09,0
108-118,0,8.43,0.77,0.77,36,0,0.77,5.36,0,2.3,0,1.53,0.77,6.13,0,0.77,20.68,0,0,0,0,1.53,3.06,0,0,0,0,0.77
120,0,9.8,1.96,0,23.52,0,0,1.96,0,5.88,0,0,0,1.96,0,1.96,27.44,0,0,0,0,1.96,0,0,0,1.96,0,0
