stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,liver,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,2.63,0,0,0,0,21.03,2.63,0,2.63,0,0
 10-12,0,0,0,6.29,0,0,0,0,3.15,0,0,0,3.15,0
 14-21,0,0,0,2,0,0,0,1,4,0,0,0,0,3
 24-34,0,0,0,1.64,0,0,0.82,0,9.85,0,0,0,0,3.28
 36-46,0,0.81,0,4.03,0,0,0,0,10.47,0,0,0,0,6.45
 48-58,0,0.57,0,0,0.57,0,0,0,2.3,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,1.06,1.06,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0
