stage,epidermis,eye,fast_muscle,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,3.28,0,0,0,0.82,0
 36-46,0,0.81,2.42,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0.57,6.31,0,0,0.57,0,0,1.15,0.57,6.89,0,0,1.15,0.57,0
 60-70,0,0,5.89,0.98,0,0,0,0,0.98,1.96,2.94,0,0.98,0.98,0,0
 72-82,0,1.96,1.96,0,0,0,0,0.98,0.98,0,4.91,0,0,2.94,0,0
 84-94,1.06,2.12,4.25,0,0,1.06,1.06,0,0,1.06,2.12,0,0,3.19,0,1.06
 96-106,0,4.37,5.46,1.09,1.09,0,0,0,3.28,2.19,3.28,0,0,2.19,0,0
108-118,0.77,0.77,4.6,0,0,0,0.77,0,0.77,1.53,0.77,0,0,5.36,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
