stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,4,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,61.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,11.49,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,1.61,3.22,0,434.26,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0.81,40.28,0.81,0,0,0,0,0,0,0,4.83,0,0,0,0,0.81
 48-58,0.57,0,0,13.2,1.72,0,1808.06,0.57,2.3,0.57,20.08,0,0,0,0,0,1.15,0.57,0,1.15,28.12,0,1.72,5.74,211.73,1.15,1.15,0.57,1.15,4.02,0.57,1.15,0,35.58,0,0,2.87,0,2.87
 60-70,0.98,0,0,4.91,0.98,0,3721.93,0.98,1.96,1.96,21.59,0.98,0,0,0.98,0.98,0.98,0,0.98,0,36.32,0,0,1.96,178.64,0.98,2.94,0,0,2.94,1.96,0,0,18.65,0,0.98,0.98,0.98,0.98
 72-82,0,0,0.98,29.45,6.87,0.98,3676.32,1.96,1.96,5.89,64.79,0.98,0.98,0.98,1.96,2.94,0.98,0,0.98,0,53.99,0,0.98,6.87,212.04,1.96,0.98,1.96,0.98,5.89,0.98,0,0,8.83,0,2.94,5.89,4.91,0.98
 84-94,0,0,0,53.1,2.12,0,2758.11,3.19,8.5,3.19,76.47,2.12,1.06,1.06,7.43,0,6.37,1.06,0,0,62.66,1.06,7.43,5.31,185.86,2.12,2.12,4.25,1.06,11.68,1.06,3.19,0,16.99,0,5.31,6.37,4.25,3.19
 96-106,1.09,0,1.09,34.97,6.56,3.28,2092.8,2.19,6.56,3.28,53.55,3.28,0,4.37,8.74,0,3.28,3.28,4.37,0,61.2,1.09,2.19,6.56,136.61,2.19,3.28,3.28,0,12.02,2.19,0,0,2.19,2.19,4.37,6.56,1.09,4.37
108-118,0.77,0,0.77,13.79,5.36,0.77,1549.54,1.53,2.3,2.3,29.11,1.53,0,0,6.89,0,0,0,6.13,0,30.64,0,3.83,4.6,130.98,0.77,3.83,2.3,0,6.13,0,0,0,2.3,0,0.77,0,3.06,0
120,0,0,0,15.68,3.92,0,1422.8,1.96,3.92,1.96,45.08,0,0,0,3.92,0,1.96,1.96,1.96,0,31.36,1.96,0,9.8,131.31,7.84,3.92,1.96,0,9.8,1.96,0,0,0,0,0,1.96,1.96,0
