stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,melanocytes,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,3,0
 24-34,0,0,1.64,0,0,0,0,0,24.63,0,0,0,5.75,0
 36-46,0,0,1.61,0,1.61,0,0,0.81,78.15,0,0.81,0,8.06,0
 48-58,0,0,2.87,0,6.31,0,0,1.15,81.48,0.57,0,0.57,9.75,0
 60-70,0,0,27.48,0,12.76,0,0,0.98,188.45,1.96,0,0,25.52,0
 72-82,0,0.98,36.32,0.98,17.67,0.98,0,1.96,179.64,2.94,0,0.98,9.82,0.98
 84-94,0,0,30.8,0,9.56,0,1.06,2.12,87.09,0,2.12,0,5.31,1.06
 96-106,1.09,0,18.58,0,12.02,0,0,2.19,73.22,0,0,0,6.56,0
108-118,1.53,0,14.55,0,9.19,0,0,0.77,90.38,0,0,0,3.83,0
120,0,0,13.72,0,3.92,0,0,0,96.03,0,0,0,1.96,0
