stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,2096.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,12.26,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,68.35,0,236.58,0,0,0,207.67,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,2081.94,42.06,0,0,515.23,0,0,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,6.29,69.23,0,91.26,0,9.44,0,387.08,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,1671.04,25.18,0,0,383.93,0,0,6.29,0,44.06,0,3.15,3.15,0,0,0,0
 14-21,0,0,3,6,666,137,0,110,0,3,0,32,13,1,5,2,6,0,0,1,5,215,4,0,252,1508,9,6,4,35,0,1,1,49,17,58,369,743,0,56,0,3
 24-34,0,0,1.64,6.57,120.67,20.52,0,257.75,0,7.39,12.31,55,3.28,0.82,13.95,4.93,1.64,3.28,4.93,2.46,9.03,415.35,0.82,0.82,191.26,3100.37,10.67,5.75,13.13,0,0.82,5.75,0,0.82,44.33,21.34,82.91,889.81,0,192.08,0,13.13
 36-46,0,0,0,1.61,32.23,2.42,0,575.25,3.22,4.03,41.09,125.68,1.61,0,16.11,13.7,0.81,1.61,4.83,0.81,10.47,456.81,0.81,8.86,108.77,2600.7,4.03,4.83,4.03,0,2.42,7.25,0.81,1.61,20.14,10.47,0.81,796,0.81,116.82,0,12.89
 48-58,0,0.57,0,0.57,9.18,0,0,652.99,1.15,2.87,55.09,134.27,1.72,0,14.92,16.07,1.15,1.15,1.15,1.15,7.46,457.9,0,7.46,70.58,957.11,0,2.3,0.57,0,2.3,1.15,0,0,19.51,1.15,0,327.64,3.44,90.09,0,10.9
 60-70,0,0,0,0,9.82,0.98,0,781.29,1.96,3.93,49.08,140.36,1.96,0,24.54,29.45,0.98,1.96,0.98,1.96,2.94,580.08,0.98,21.59,43.19,423.04,0.98,0.98,5.89,0,11.78,0.98,0,0,27.48,0.98,0,134.47,8.83,75.58,5.89,6.87
 72-82,0,0,1.96,0,14.72,0.98,0,416.22,0,1.96,69.7,142.34,7.85,0,23.56,45.16,0.98,5.89,2.94,0.98,1.96,682.25,0.98,22.58,60.86,322.97,1.96,4.91,5.89,0,9.82,1.96,0,0.98,55.95,0,0,40.25,26.5,172.77,19.63,10.8
 84-94,0,0,1.06,0,18.05,1.06,0,348.35,3.19,5.31,47.79,77.53,15.93,0,15.93,44.61,1.06,9.56,1.06,1.06,2.12,408.88,1.06,24.43,38.23,196.48,6.37,3.19,5.31,0,8.5,2.12,0,0,131.69,0,0,36.11,21.24,137,18.05,12.74
 96-106,0,0,5.46,0,18.58,3.28,0,252.45,2.19,4.37,46.99,107.1,15.3,0,25.14,52.46,1.09,5.46,1.09,3.28,1.09,405.45,0,22.95,24.04,206.55,3.28,2.19,4.37,0,18.58,6.56,0,0,128.96,1.09,0,28.41,17.49,172.67,18.58,13.11
108-118,0,0,5.36,0.77,13.79,6.13,2.3,216.77,2.3,6.13,38.3,104.94,22.98,0,14.55,44.43,3.06,4.6,1.53,2.3,2.3,361.53,1.53,9.96,24.51,220.6,4.6,1.53,3.83,0,15.32,0.77,0,0,135.58,0.77,0,12.26,9.19,140.94,13.79,13.02
120,0,0,3.92,0,23.52,1.96,1.96,146.98,0,5.88,35.28,66.63,23.52,0,13.72,50.95,1.96,5.88,0,5.88,0,233.21,0,13.72,29.4,172.46,3.92,1.96,7.84,0,11.76,0,0,0,76.43,0,0,9.8,13.72,107.79,11.76,5.88
