stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 48-58,0,0,0,10.9,0,0,0,0,0,2.3,0,0,0,0,0,0.57,0,0,0
 60-70,0,0.98,0,160.97,0,0,0.98,0.98,0,6.87,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,1.96,0.98,247.38,0,1.96,0.98,0.98,0,2.94,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,183.73,0,3.19,0,1.06,1.06,2.12,1.06,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,137.7,1.09,1.09,0,2.19,0,3.28,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0.77,0,100.34,0,2.3,0,2.3,0,6.13,0,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,97.99,0,1.96,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0
