stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,144.96,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,10.51,5.26,0,0,0
 10-12,0,0,0,0,0,0,28.32,3.15,0,0,0
 14-21,0,0,1,6,1,1,28,0,1,2,3
 24-34,0,0,0,8.21,0,1.64,27.09,0,0,0.82,3.28
 36-46,0,0,0,2.42,0,0,16.92,0,0,0,0
 48-58,0,0,0,3.44,0.57,1.15,4.59,0,0,0,0
 60-70,0,0,0,2.94,0,0,2.94,0,0,0,0
 72-82,0,0,0,4.91,4.91,1.96,8.83,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,2.12,0,0,0,0
 96-106,0,0,0,2.19,2.19,0,3.28,0,0,0,0
108-118,0,0,0,2.3,3.83,0,1.53,0,0,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,0
