stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,34.62,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,12,0,0,0,0,1,1,2,4,0,0,0
 24-34,0,0,0,6.57,4.1,0,0.82,0,0.82,0,0,0,0,4.1,3.28,18.06,0,0,0,13.13,0,0,0,6.57,0,1.64,0
 36-46,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,4.03,0.81,8.06,0,0,0,4.03,0,0,0,0.81,0,1.61,0
 48-58,0.57,0,0,0,1.15,0,0,1.15,0.57,0,0,0,0,4.02,0,4.02,0.57,0,0,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0,0,4.91,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,0,1.06,0,0,0,0,2.12,0,1.06,1.06,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,3.28,0,0,0,0,0,0,0,1.09,5.46,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0.77,0,0,0,0.77,0,0,0.77,0,2.3,0,2.3,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,5.88,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
