stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,80,268,0,1,0,0,0,0,9,0,0,7,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
 24-34,9.03,211.78,0,0.82,0,0.82,0,0,4.1,0,0,8.21,0,0,2.46,6.57,0,1.64,47.61,1.64,0,2.46,0.82,2.46,0,0.82,0
 36-46,3.22,28.2,0,0,0,0,0,0,2.42,0,0,0.81,0.81,0,1.61,4.03,0,0,32.23,0,0,1.61,0,0,0,0,0
 48-58,4.02,26.97,0,2.3,0,0,0,0,3.44,0,0,1.72,0,0,0.57,8.03,0,0,18.94,0,0,0.57,0,1.72,0,0,0.57
 60-70,3.93,22.58,0,1.96,0,0,0,1.96,3.93,0,0,0,0,0,0,10.8,0,0,9.82,0,0,0.98,0,0,0,0,0
 72-82,4.91,139.4,0,3.93,0,0,0.98,1.96,3.93,0,0,1.96,0,0,1.96,10.8,0,0,11.78,0,0,0,0,0,0,0.98,0
 84-94,11.68,106.2,0,1.06,1.06,2.12,0,3.19,4.25,0,0,1.06,0,0,0,10.62,0,0,5.31,0,0,1.06,0,0,0,0,0
 96-106,6.56,151.91,0,2.19,0,1.09,0,7.65,1.09,1.09,1.09,1.09,0,2.19,8.74,20.76,0,0,7.65,0,0,1.09,0,0,0,0,0
108-118,11.49,108,0,1.53,0,0,0,2.3,0,0.77,4.6,2.3,0.77,0,2.3,6.89,0,0.77,7.66,0,0,1.53,0,0,0.77,1.53,0
120,11.76,99.95,1.96,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,5.88,1.96,1.96,15.68,0,0,0,0,0,0,0,0
