stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,3531.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.69,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2923.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,12.26,0,0,18.39,0,392.3,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,15.77,0,36.8,0,0,0,57.83,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,596.72,13.14,0,0,202.41,0,63.09,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,50.35,0,3.15,0,31.47,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,405.96,0,0,0,69.23,0,6.29,12.59,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,33,478,7,0,7,3,0,1,18,1,1,0,26,0,0,2,21,2,0,4,42,4,5,35,12,0,181,0,19,5,0,3,10,0,1,0,0
 24-34,0,0,2.46,16.42,185.51,1.64,0,6.57,18.06,0,3.28,4.93,0.82,0,0,29.55,0,12.31,1.64,6.57,9.03,0,3.28,71.41,0,22.16,35.3,0,0,412.89,0,0,13.13,0,0,12.31,0,2.46,0,0
 36-46,0,0,0,2.42,92.65,0,0,4.03,18.53,0,0,8.06,0,0,0,7.25,0,8.86,3.22,4.83,7.25,0,0,66.06,1.61,18.53,24.17,0,0,296.49,2.42,0,4.03,0,0,9.67,0,0,0,0
 48-58,0,0,0.57,1.15,70.58,0,0,5.74,14.35,0,4.59,5.74,2.87,0,0.57,3.44,0,6.89,3.44,4.59,9.75,0,0.57,32.71,0,11.48,18.94,0,0,170.99,0.57,0,4.02,0,0,6.31,0,0,0,0
 60-70,0,0,0.98,0,83.43,0.98,0,8.83,17.67,0,2.94,18.65,0.98,0,0,4.91,0,14.72,6.87,3.93,9.82,0,0,22.58,0,12.76,21.59,0,0,167.84,0,0,6.87,0,0,2.94,1.96,0,0,2.94
 72-82,0,0,10.8,0,100.13,0,0,11.78,13.74,0,0,38.28,2.94,0,1.96,9.82,0,17.67,2.94,6.87,17.67,0,0,34.36,0,27.49,39.27,0,0,165.9,0,0,4.91,0.98,0,1.96,11.78,0,0,0
 84-94,0,0,6.37,3.19,185.86,1.06,0,1.06,30.8,1.06,4.25,67.97,4.25,0,1.06,32.92,1.06,18.05,6.37,6.37,16.99,1.06,0,14.87,0,25.49,37.17,0,0,404.64,0,0,14.87,0,0,4.25,24.43,0,0,0
 96-106,0,0,9.84,0,248.08,1.09,0,6.56,24.04,1.09,7.65,86.33,0,0,1.09,36.06,0,34.97,13.11,10.93,15.3,2.19,0,36.06,0,41.53,45.9,0,1.09,439.32,0,0,5.46,0,0,5.46,54.64,3.28,1.09,0
108-118,0,0,2.3,6.89,213.7,0,7.66,6.89,47.49,0,1.53,72.77,0,0,0.77,40.6,0.77,15.32,9.96,12.26,11.49,0,0,24.51,0,35.23,39.83,0,0,291.07,0,0,13.79,0,0,1.53,61.28,1.53,0.77,0
120,0,0,3.92,1.96,152.86,1.96,3.92,5.88,33.32,3.92,0,52.91,0,0,1.96,31.36,0,15.68,1.96,3.92,11.76,0,0,21.56,0,11.76,41.16,0,0,199.9,0,0,13.72,0,0,0,21.56,0,0,0
