stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,3,2,2,0,0,1,0,2,0,3,17,0,0,0,0,0,1,2,11,0,1,0
 24-34,0,1.64,0,0.82,0,0.82,0.82,0.82,0.82,0,0.82,9.85,0,0,0,0,1.64,0,0,2.46,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0.81,0,1.61,25.78,0,0.81,0.81,0,1.61,0,0,8.86,0,0.81,0
 48-58,0,0,0,0.57,0,0.57,0,0,1.72,0.57,0.57,4.59,0,0,0,0,1.15,0,0,2.87,0,0,0
 60-70,0,0,0,9.82,0,0,0,0,0.98,0,0,10.8,0,0,0,0,0.98,0,0,2.94,0,0,0
 72-82,0,0,1.96,9.82,0.98,1.96,0,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.25,0,0,0,0,1.06,0,0,4.25,1.06,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,1.09,2.19,1.09,0,0,0,0,0,0,0,4.37,0,1.09,0,0,3.28,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,1.53
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
