stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,28.92,2.63,10.51,0,0,0,0
 10-12,0,0,3.15,0,6.29,0,0,0,0,3.15,3.15,9.44,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,1.15,0.57,0,0,0.57,0.57,0.57,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0
