stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1950.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,34.17,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,139.32,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.08,3.15,0,0,195.11,0,0,3.15,18.88,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,5,39,17,0,51,0,0,0,4,3,0,0,0,10,0,0,0,0,25,0,15,349,3,2,3,11,0,2,69,10,2,103,105,0,0,5,0,0
 24-34,0,0,0.82,0.82,10.67,2.46,0,89.47,0,0.82,0,6.57,2.46,0,0,0.82,9.03,0.82,2.46,0.82,0.82,32.83,0,8.21,410.43,1.64,1.64,6.57,0,0,4.93,0,0.82,0.82,18.06,73.88,0,0,4.93,0,1.64
 36-46,0,0,0,0.81,3.22,0,0,103.93,0.81,0,0,4.83,0,0,0,0.81,0.81,0,0,1.61,0,24.17,0,9.67,270.7,0,2.42,0.81,0,0,5.64,0,0.81,0.81,0,51.56,0,0,3.22,0,0.81
 48-58,0,0,0,0,8.61,0,0,127.38,0.57,0.57,0.57,16.64,0,0.57,1.15,0.57,1.15,1.72,0,1.15,0,32.13,2.3,11.48,225.51,0,0.57,1.72,0,0,1.15,0,1.72,1.72,0,34.43,0,0,2.87,0,0
 60-70,0,0,0,0,9.82,0,0,166.86,2.94,0,0.98,10.8,2.94,0,0,1.96,1.96,0.98,0,1.96,2.94,25.52,0.98,6.87,237.53,0.98,0.98,0,0,1.96,1.96,0,1.96,0.98,0,23.56,0,0,3.93,0,0
 72-82,0,0,1.96,0,3.93,1.96,0,141.36,0.98,0,2.94,22.58,2.94,0,0.98,8.83,0,0,3.93,0.98,1.96,48.1,1.96,8.83,222.84,0,1.96,0.98,0,0,10.8,0,4.91,0,0,11.78,0.98,0.98,8.83,0.98,0
 84-94,0,0,0,0,5.31,4.25,0,83.9,0,1.06,2.12,26.55,9.56,0,0,13.81,9.56,3.19,1.06,2.12,3.19,30.8,6.37,10.62,127.44,1.06,1.06,2.12,0,1.06,19.12,0,5.31,2.12,0,6.37,0,1.06,7.43,1.06,3.19
 96-106,0,0,1.09,0,18.58,0,0,81.96,2.19,0,2.19,27.32,4.37,0,0,14.21,5.46,0,2.19,0,0,31.69,0,12.02,108.19,0,6.56,3.28,0,0,16.39,0,2.19,4.37,0,3.28,0,2.19,8.74,1.09,2.19
108-118,0,0,0,0,14.55,6.89,1.53,72,0.77,1.53,1.53,20.68,3.06,0,0.77,9.19,4.6,0.77,1.53,1.53,0.77,36,0.77,13.79,141.7,0.77,3.06,2.3,0,0,11.49,0,3.06,2.3,0,2.3,0.77,0,3.06,0,1.53
120,0,0,0,0,17.64,3.92,0,37.24,1.96,1.96,0,13.72,3.92,0,0,15.68,5.88,0,0,3.92,0,13.72,0,17.64,99.95,1.96,1.96,1.96,0,0,9.8,0,1.96,1.96,0,7.84,0,1.96,9.8,0,0
