stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,5,21,0,0,0,0,0,7,0,2,0,9,54,0,0,1,0,0
 24-34,0,0,0,0,3.28,0,0,7.39,0,0,0,3.28,0,0,0,4.1,0,0,0.82,2.46,6.57,0.82,0,9.85,140.37,0,0,0.82,0,0,55.82,0,0,0.82,1.64,201.93,0,0,0,0,0
 36-46,0,0,0,0,3.22,0.81,0,24.98,0,0,1.61,4.03,0,0,0,3.22,0,0,0,7.25,20.95,0,0,4.83,244.92,0,2.42,0.81,0,0,52.37,0,0,0,0,314.21,0,0,0.81,0,0
 48-58,0,0,0,0,4.02,0,0,111.89,0,0.57,1.15,11.48,0,0.57,0.57,1.15,0,0.57,0,4.59,19.51,0,0,1.72,236.98,0,0,1.72,0,0,25.25,0,0,0,0,217.47,0,0,0,0,0.57
 60-70,0,0,0,0,7.85,0,0,243.42,0,2.94,1.96,29.45,0,0,1.96,3.93,0,0,0,0.98,45.15,0,1.96,5.89,509.41,0.98,0,0.98,0,0,39.26,0,0,0,0,137.41,0.98,0,0,0,0
 72-82,0,0,0,0,11.78,0.98,0,226.76,0.98,0.98,1.96,41.23,0,0,0.98,5.89,0.98,1.96,0.98,4.91,58.9,0,0.98,8.83,508.5,0,0.98,7.85,0,0.98,34.36,0,0,0,0,61.84,0.98,0.98,0,0.98,3.93
 84-94,0,0,0,1.06,30.8,1.06,0,170.99,1.06,2.12,5.31,26.55,1.06,0,0,18.05,0,2.12,0,6.37,45.67,0,5.31,3.19,204.97,0,0,6.37,0,1.06,124.26,0,0,0,0,37.17,0,1.06,1.06,4.25,0
 96-106,0,0,0,0,43.71,2.19,0,167.21,0,2.19,1.09,27.32,2.19,1.09,3.28,15.3,1.09,2.19,0,6.56,34.97,2.19,0,7.65,213.11,0,0,3.28,0,0,89.61,0,0,0,0,20.76,2.19,1.09,0,4.37,2.19
108-118,0,0,0.77,0,40.6,2.3,0.77,121.02,0,2.3,4.6,23.74,0,0,2.3,9.96,1.53,3.06,1.53,7.66,26.04,1.53,0.77,6.13,251.24,0,0,4.6,0,0.77,68.94,0,0,0,0,11.49,0.77,2.3,0,3.83,0.77
120,0,0,0,0,39.2,1.96,0,99.95,0,1.96,1.96,19.6,0,0,3.92,3.92,0,5.88,0,0,43.12,0,0,3.92,297.89,0,1.96,7.84,0,0,43.12,0,0,0,0,3.92,0,0,0,0,5.88
