stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,9,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,1,1,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,1.64,0.82,2.46,0,0,1.64,0.82,0,2.46,0,0,0,0,1.64,0
 36-46,0,0,0,2.42,0,0,0,0,0,2.42,0,0.81,0.81,0,3.22,0,0,4.03,0,0,0,0,1.61,0
 48-58,0,0.57,0,2.87,0,0,0,0,0,3.44,0,0,0.57,0,0.57,0,0,1.15,0,0,0.57,0,1.72,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,6.87,0,0,17.67,0.98,0,0,0.98,1.96,0,0,0,0,0,0,0,3.93,0
 84-94,0,1.06,1.06,0,0,0,11.68,0,1.06,18.05,1.06,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,3.28,0,5.46,0,0,15.3,0,0,25.14,0,0,0,0,1.09,0,0,1.09,0,0,0,1.09,2.19,1.09
108-118,0,1.53,0,0.77,0.77,0.77,14.55,0,0,15.32,0.77,0,0,0,0,0,0,0.77,0,0,0,0,3.83,0
120,0,1.96,0,0,0,0,9.8,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
