stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,76.23,2.63,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,37.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,0,0,0,0,0,0,0,0,3,0,0,2,48,1,0,0,0,0,4,0,3,11,0,1,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,3.28,0,0,1.64,41.04,0,0.82,0,0,0,0,0,0,4.93,0,0.82,0
 36-46,0,0,0,1.61,4.03,0,0,1.61,0,0,0,0,0,4.03,0,0,0,33.84,0,0,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,1.15,10.33,0,0.57,2.87,0,0.57,0,0,0.57,7.46,0,0,1.15,18.94,0,0,0,0,0,0,0,0,5.16,0,0,0
 60-70,0,0,0,0,8.83,0,0,1.96,0,0,0,0,0,2.94,0,0,0,22.58,0,0,0,0,0.98,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,0.98,8.83,0,0,0.98,0,0,0,0.98,0,9.82,0,0,0.98,20.61,0,0,0,0,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,0,1.06,8.5,0,0,3.19,0,0,0,0,0,3.19,1.06,1.06,0,13.81,0,1.06,0,0,0,0,0,0,1.06,1.06,2.12,0
 96-106,0,0,0,0,3.28,0,0,0,0,0,0,0,1.09,10.93,0,0,0,7.65,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,3.06,0,0.77,3.06,0,0,0.77,0,0,3.83,0,0,0.77,22.98,0,0,0,0,0,0,0.77,0,0,0,0,0.77
120,0,0,0,0,7.84,1.96,1.96,5.88,0,0,0,0,0,7.84,0,0,3.92,17.64,0,1.96,0,0,0,0,0,0,3.92,0,0,0
