stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,2,2,0,0,40,0,0,0,0,0,0,5,0,1,28,5,2,6,5,0,0,4,26,3,128,0,1,0
 24-34,0,0,0,0,6.57,0,4.1,0,1.64,56.64,0,0,0,0,0.82,0,4.93,0,0.82,22.16,1.64,4.93,5.75,0,0,0,0,31.19,1.64,121.49,0,0,0
 36-46,0,0,0,0,2.42,0,1.61,0,0,28.2,0,0,1.61,0,0.81,0,1.61,0,0.81,23.36,0,8.06,0.81,0,0,0.81,0,14.5,0,60.43,0,0.81,0
 48-58,0,0,0,0,0,0,4.02,0,0,32.13,0,0,0,0,1.15,0,2.3,0.57,0.57,14.35,0,6.31,1.72,0,0,0,0,4.59,0,55.66,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,35.33,0,0,0,0,4.91,0,2.94,0,0,13.74,0,7.85,7.85,0,0,0.98,0,1.96,0,33.37,0,0,0
 72-82,0,0,0.98,0,5.89,0,3.93,0.98,0,48.1,0.98,0,0,0,4.91,0.98,4.91,0.98,0,11.78,0,8.83,13.74,0,0,0,0,4.91,0,20.61,0.98,0,0
 84-94,0,0,1.06,1.06,3.19,0,10.62,0,0,33.99,2.12,0,0,0,5.31,0,2.12,0,1.06,8.5,0,18.05,11.68,0,0,0,0,9.56,0,22.3,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,0,2.19,0,0,27.32,1.09,1.09,4.37,0,7.65,0,2.19,0,0,8.74,0,26.23,18.58,0,0,0,0,5.46,0,22.95,0,1.09,0
108-118,0,0,0,0.77,0,0,3.83,0,0,21.45,0,0,1.53,0.77,12.26,0,3.83,0,0.77,8.43,0,14.55,8.43,0,0,0,0,4.6,0,13.79,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,7.84,0,0,1.96,0,11.76,0,3.92,0,0,3.92,0,5.88,7.84,0,1.96,0,0,5.88,0,7.84,0,1.96,0
