stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,12.59,0,31.47,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,182.52,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,15,4,0,5,0,0,0,7,0,1,0,0,0,4,0,0,1,104,0,0,39,239,2,1,0,1,0,0,5,2,1,1,10,0,0,0,0
 24-34,0,0,0,0,10.67,0.82,0,3.28,0,0,0,6.57,0,0,3.28,0,0,11.49,0.82,0,1.64,293.87,0,0,16.42,43.51,0.82,9.03,0,0,0,0.82,0,1.64,0,1.64,19.7,0,0.82,0,0
 36-46,0,0,0,0,1.61,0.81,0,2.42,0.81,0,0,4.03,0,0,2.42,0,0,26.59,0,0,0.81,303.74,0,0,13.7,68.48,3.22,4.03,0.81,0,0,0,0,0.81,0,0,18.53,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,9.75,0,0,0.57,5.16,0,0.57,2.87,0.57,0,47.63,0.57,0,0,326.49,0,0,13.77,68.86,0,7.46,1.72,0,0,0.57,0,0.57,0.57,0,12.05,0.57,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,19.63,0,0,0,2.94,0,0,0,0,0,97.17,0.98,0.98,0,331.75,0,0,19.63,71.65,0,1.96,0,0,2.94,0.98,0,0.98,0,0,12.76,0.98,0,0,0
 72-82,0,0,2.94,0,0.98,0,0,40.25,0,0,0.98,6.87,0,0,0.98,0,0,94.24,0.98,0.98,0,396.59,0,0.98,22.58,46.14,0,9.82,0.98,0,0,0.98,0,0,0,0,6.87,0.98,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,0,0,54.16,0,0,1.06,7.43,1.06,0,0,2.12,0,94.52,1.06,0,0,246.39,0,1.06,10.62,27.61,0,4.25,3.19,0,0,0,0,0,0,0,5.31,1.06,1.06,2.12,0
 96-106,0,0,0,1.09,0,2.19,1.09,27.32,0,1.09,1.09,5.46,1.09,0,0,0,1.09,98.36,0,2.19,0,283.05,0,0,9.84,32.79,0,6.56,2.19,0,2.19,3.28,0,1.09,0,0,2.19,2.19,1.09,0,0
108-118,0,0,0,0,1.53,0.77,0,13.02,0,0,1.53,1.53,0,0,0,1.53,0,127.15,0,0.77,0,210.64,0.77,0.77,9.19,23.74,0,5.36,1.53,0,0,0.77,0,1.53,0,0,2.3,0.77,0,0.77,0
120,0,0,0,0,3.92,0,0,17.64,0,0,0,3.92,1.96,0,0,1.96,0,88.19,1.96,1.96,0,211.66,0,1.96,3.92,31.36,0,5.88,0,0,1.96,1.96,0,0,1.96,0,1.96,0,0,0,1.96
