stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,9.44,0,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,0.82,6.57,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,2.42,0,1.61,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,1.72,0,0,7.46,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,6.87,0,2.94,0,0,0,0,0,0.98,0,0,4.91,0,0,0,1.96,0,0.98,0.98
 72-82,0,0,0,0.98,2.94,0,0,0.98,0,0,0,0.98,1.96,0,0,10.8,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,1.06,3.19,0,0,0,0,1.06,0,0,0,0,0,4.25,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,2.19,6.56,0,0,0,0,0,1.09,0,2.19,0,0,1.09,0,0,0,2.19,0,0,0
108-118,0,0,1.53,0,0.77,0,0,0,0,0,0.77,0,2.3,0,0,2.3,0,0,0,0.77,0,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,1.96,0,0,0,0,0,0
