stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,1,0,2,3,0,0,0,0
 24-34,0,0.82,0.82,0,1.64,0.82,0,0,0,0,0,0,5.75,0,0.82,28.73,0,5.75,0.82,0,0,0,0,0.82,0,5.75,0,0,0,0.82
 36-46,0,0.81,0,0,3.22,0,1.61,0,0.81,0,0,0,4.83,0,0.81,82.98,0,8.86,0,0,0,0,0,0.81,0,5.64,0,0,0,0.81
 48-58,0,0,1.15,0,2.3,2.87,0.57,0,0,0,0,0,2.87,0,0.57,79.76,0,1.15,0,0,0,0,0,1.15,0,6.31,0,0,0,2.3
 60-70,0,0,0.98,0,6.87,2.94,0.98,0,0,1.96,0.98,0,1.96,0.98,0,182.56,0,0,0,0,0,0,0,1.96,0,7.85,0,0,0,0.98
 72-82,0,0,0,0,12.76,10.8,3.93,0,0,1.96,0,0,5.89,0,0,160.99,0,0.98,0,0,0,0,0,1.96,0,4.91,0.98,0.98,0,0.98
 84-94,0,0,1.06,0,10.62,2.12,4.25,0,0,2.12,0,1.06,4.25,0,0,87.09,0,1.06,0,0,0,0,0,2.12,0,5.31,0,0,0,3.19
 96-106,0,0,1.09,0,7.65,1.09,1.09,0,0,5.46,0,0,4.37,0,0,76.5,0,6.56,0,0,0,0,0,1.09,0,0,0,1.09,1.09,2.19
108-118,0,0,0,0,3.83,3.06,1.53,0,0.77,6.89,0.77,0,6.89,0,0,81.19,0,1.53,0,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,0,3.92,0,3.92,0,1.96,1.96,0,0,1.96,0,3.92,129.35,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
