stage,endocrine.pancreas,epidermis,eye,glial,gut,heart,mesenchyme,neural,notochord,olfactory,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0.82,7.39,0.82,0,0,2.46,0.82
 36-46,0,0,1.61,0,0,0,0.81,10.47,0,0,0,2.42,0
 48-58,0,0,2.3,0.57,0,0,2.3,10.9,0,0,0.57,2.87,0
 60-70,0,0,9.82,0,0,0,1.96,18.65,0,0,0,1.96,1.96
 72-82,0.98,0,9.82,0.98,0,0,0.98,15.71,0,0,1.96,0,0
 84-94,0,0,2.12,0,2.12,1.06,2.12,4.25,0,0,0,0,0
 96-106,0,0,2.19,1.09,1.09,0,1.09,2.19,0,0,0,0,0
108-118,0,0.77,3.06,0,0,0,0.77,3.83,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,9.8,0,0,0,0,0
