stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,685.25,14561.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436.39,0,0,0,0,0,0,0,0,0
  5-6,655.87,6754.86,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,104.2,12.26,0,0,49.04,0,735.56,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,13.14,0,0,0,28.92,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,278.64,7.89,0,0,76.23,0,107.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,25.18,0,47.2,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,10,302,7,0,10,0,2,0,0,18,1,0,0,3,0,0,0,0,11,8,0,1,72,4,5,79,1,0,1020,13,0,2,13,23,0,3,0,0
 24-34,0,0,0,1.64,66.49,1.64,0,11.49,0,4.1,0,0.82,0.82,0.82,0,0,4.93,0,9.85,0.82,0,9.85,22.98,0,5.75,119.02,1.64,21.34,18.88,0,0,1557.98,0,0.82,0,1.64,29.55,0,3.28,0,0
 36-46,0,0,0,0,56.4,0.81,0,13.7,0.81,18.53,0,4.03,1.61,0,1.61,0,3.22,0,4.83,0,0.81,13.7,23.36,0,3.22,108.77,0.81,16.11,15.31,0,0,1726.55,0,0.81,0.81,0,19.34,0,3.22,0,2.42
 48-58,0,0,0,0,43.61,0,0,24.67,0,25.82,0.57,9.75,1.72,0.57,0,0,2.87,0,3.44,0,0.57,10.33,16.07,0,0.57,64.27,0.57,9.18,17.21,0,0,1272.13,0,0,0,0,19.51,0,1.15,0,2.3
 60-70,0,0,0,0,103.06,0,0,39.26,0,32.39,0,6.87,0.98,0.98,0,0,8.83,0,5.89,0,0,18.65,10.8,0.98,0.98,53,0,9.82,20.61,0,0,1221.99,0,0.98,0,0,10.8,3.93,0.98,0,0
 72-82,0,0,0,0,156.08,0.98,0,29.45,0,49.08,1.96,1.96,10.8,0.98,0.98,1.96,22.58,1.96,2.94,0.98,0,7.85,13.74,0,1.96,56.94,0.98,10.8,14.72,0,0.98,1212.35,0,0,0.98,0,3.93,10.8,1.96,1.96,0.98
 84-94,0,0,2.12,0,348.35,2.12,0,28.68,0,133.82,0,7.43,22.3,0,0,3.19,79.65,0,1.06,1.06,0,15.93,27.61,0,1.06,27.61,0,38.23,15.93,0,0,3533.4,0,0,0,0,1.06,41.42,2.12,0,1.06
 96-106,0,0,2.19,0,438.23,6.56,3.28,37.16,0,165.02,2.19,8.74,53.55,0,0,5.46,95.08,1.09,10.93,5.46,0,21.86,53.55,0,6.56,116.93,0,61.2,24.04,0,0,3392.2,0,4.37,1.09,0,5.46,39.34,1.09,1.09,2.19
108-118,0,0,0,0,495.58,6.13,3.06,26.81,1.53,294.9,3.83,12.26,68.94,0,0,4.6,147.83,0.77,13.79,1.53,0,29.11,75.83,0,2.3,81.96,0,50.55,30.64,0,0,4102.5,0,0.77,0,0,0.77,60.51,4.6,2.3,1.53
120,0,0,0,1.96,256.73,1.96,0,23.52,0,162.66,0,3.92,19.6,0,1.96,0,52.91,1.96,0,0,0,21.56,35.28,1.96,0,45.08,1.96,25.48,19.6,0,1.96,1728.53,0,3.92,0,0,1.96,19.6,0,0,1.96
