stage,endoderm,erythrocytes,eye,fin.mesenchyme,heart,iridophores,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,pericytes,spinal.cord,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,0.82,0,0.82,0,0,0,0,0,0.82,2.46
 36-46,0,0,3.22,0.81,0,0,0.81,0,0.81,0,0,0,0,3.22
 48-58,0,0,2.87,0,0,0.57,1.72,0,1.15,0.57,0,0,0,3.44
 60-70,0,0,4.91,0,0,0.98,0,0,0.98,0,0,0,0,1.96
 72-82,0,0,4.91,0,0,1.96,1.96,0,2.94,0,0,0,0,3.93
 84-94,0,0,6.37,0,0,4.25,0,0,0,0,0,0,0,7.43
 96-106,0,1.09,5.46,0,0,4.37,0,1.09,0,0,0,0,0,5.46
108-118,0,0,5.36,0,0,6.89,3.06,0,2.3,0,0,0,0,4.6
120,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96
