stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,6.87,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,15.93,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,1.09,1.09,0,1.09,0,1.09,1.09,102.73,1.09,1.09,1.09,0,10.93,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0,0.77,1.53,0.77,0,0.77,0,0,377.62,3.83,0,0,2.3,9.19,0,0.77,0,0,2.3,0,0
120,0,0,1.96,0,0,1.96,1.96,1.96,1.96,0,0,0,0,266.53,0,0,0,0,9.8,0,0,0,0,1.96,0,0
