stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,70.98,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,6.29,0,195.11,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,412.25,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,71,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0.57,0,5.74,0,0,0,0,0,0,0,4.59,0,1.15,0,1.15,0,0.57,0
 60-70,0,0,0,0,0.98,2.94,0,138.39,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,3.93,0,4.91,2.94,8.83,0,0,0,0,0,0.98,0,5.89,0,0,0,10.8,0,19.63,0
 72-82,0,0,1.96,0,14.72,9.82,0.98,740.17,2.94,1.96,2.94,25.52,3.93,0,1.96,0.98,0.98,2.94,0,1.96,0.98,53.99,0.98,6.87,6.87,159.03,0.98,3.93,0,0,2.94,10.8,0,6.87,0,10.8,1.96,21.6,2.94,45.16,5.89
 84-94,0,0,0,0,8.5,4.25,0,782.72,1.06,3.19,1.06,13.81,0,0,1.06,2.12,1.06,0,1.06,1.06,0,31.86,1.06,11.68,6.37,73.28,0,5.31,2.12,0,0,10.62,1.06,5.31,0,5.31,1.06,18.05,2.12,50.98,1.06
 96-106,0,0,0,0,14.21,12.02,1.09,568.28,1.09,0,1.09,15.3,3.28,0,0,2.19,1.09,3.28,1.09,3.28,1.09,46.99,2.19,1.09,2.19,84.15,0,0,4.37,0,3.28,15.3,2.19,3.28,0,4.37,0,10.93,3.28,66.66,1.09
108-118,0,0,0,0,14.55,2.3,0,415.92,2.3,0.77,1.53,13.79,1.53,0,0.77,2.3,1.53,0.77,0,3.06,1.53,28.34,0,3.83,4.6,92.68,0.77,0.77,0,0,3.83,10.72,0.77,6.13,0,3.06,0,2.3,3.83,32.17,0.77
120,0,0,0,0,7.84,9.8,1.96,425.27,0,0,1.96,1.96,3.92,0,0,1.96,0,0,0,1.96,0,23.52,0,1.96,3.92,62.71,0,0,1.96,0,1.96,9.8,0,1.96,0,0,0,3.92,3.92,21.56,1.96
