stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,600.7,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,49.04,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,107.78,7.89,0,0,44.69,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,154.2,0,0,0,50.35,0,0,3.15,3.15,0,0,0
 14-21,0,0,0,5,2,2,1,0,0,1,0,0,0,0,0,4,21,0,0,1,0,0,2,0,5,9,0,0
 24-34,0,0,0,0.82,0,7.39,0,0,0.82,0,0.82,0,0,3.28,0,0,26.27,0,0.82,0.82,0,0,0,0,0.82,5.75,0,0
 36-46,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,4.03,0,0,20.14,0,0,0,0,0,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,0,8.03,0,2.87,0,0,0,0,0.57,4.02,0.57,0.57,6.89,0.57,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,3.93,0,2.94,0,0,0,0,0,0.98,0,1.96,4.91,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,3.93,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,3.28,0,0,0,1.09,0,4.37,0,0,4.37,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,2.3,0,0,0.77,0,0,0.77,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,1.96
