stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,13,0,17,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,2.46,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,107.53,0,2.46,0,18.06,0.82,44.33,0,0,0,0,0
 36-46,0,0.81,0.81,0,0,0,26.59,0,0.81,0,0,0,0,0,0.81,0,0,0,0,1.61,1.61,0,0,243.31,0,0,0,12.89,0,64.45,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,58.53,0,0,0,3.44,0,0,0,0,0,0,0,0.57,1.72,0,0.57,0.57,223.78,0,0,0,7.46,0,68.86,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,127.6,0,0,0,0.98,0,0,0,0.98,0,0,0,0,3.93,0,0,0,403.41,0,0,0,12.76,0,79.5,0,0,0,0,0
 72-82,0,1.96,0,7.85,1.96,0.98,315.11,0,0.98,0,11.78,0,0.98,0,1.96,0,0,0.98,0,13.74,0,0,0.98,614.52,0,2.94,0,5.89,0,53.99,0.98,0.98,0,0,0
 84-94,0,0,0,4.25,1.06,0,175.24,0,0,1.06,11.68,1.06,0,0,1.06,1.06,1.06,0,0,9.56,0,0,2.12,338.79,1.06,1.06,1.06,28.68,0,46.73,1.06,0,0,1.06,0
 96-106,0,1.09,0,12.02,4.37,0,199.99,0,0,0,20.76,3.28,0,1.09,4.37,0,4.37,0,0,19.67,0,0,1.09,407.63,0,1.09,0,25.14,0,20.76,0,0,2.19,1.09,0
108-118,0,0.77,0,9.96,2.3,0,185.36,0,1.53,0,8.43,0.77,0.77,2.3,0.77,0,0.77,0,0,5.36,1.53,0,1.53,517.79,0.77,0,0.77,26.81,0.77,17.62,1.53,0.77,1.53,0,1.53
120,0,0,0,7.84,0,0,131.31,3.92,0,1.96,5.88,0,0,0,5.88,0,0,0,0,9.8,0,1.96,0,582.06,0,0,1.96,15.68,1.96,25.48,0,0,1.96,0,1.96
