stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,2,0,0,2,1,0,0,0,0,3,0,0,32,0,0,2,1,0,1,1,20,3,25,0,0
 24-34,0,0,0,0.82,1.64,4.93,0,0.82,6.57,0,0,0,0,0,2.46,0,0,22.16,0,13.13,1.64,0,1.64,0,0,23.8,1.64,16.42,0,0
 36-46,0,0,0,0,1.61,1.61,0.81,0,4.83,0,0,0.81,0.81,0,1.61,0,0,33.03,0.81,20.95,2.42,0,0,0,0,11.28,0,9.67,0,0
 48-58,0,0,0,0,0,4.02,0,0,4.59,0,0,0.57,0,0.57,1.15,0,0,9.75,0,13.77,0.57,0,0.57,0,0,4.59,0,7.46,0,0
 60-70,0,0,0,0,0,7.85,0,0.98,5.89,0,0,0.98,0,0,0.98,0,0,18.65,0,27.48,2.94,0,0,0,0,6.87,0,5.89,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,8.83,0.98,0,1.96,0,0,6.87,0,0,14.72,0,39.27,5.89,0,0,0,0,3.93,0,2.94,3.93,0
 84-94,0,0,0,0,0,8.5,0,0,7.43,2.12,2.12,1.06,1.06,0,5.31,0,0,5.31,0,39.3,6.37,0,1.06,0,0,8.5,0,4.25,0,0
 96-106,0,0,0,0,1.09,7.65,0,1.09,4.37,1.09,0,3.28,0,0,4.37,1.09,0,6.56,0,45.9,12.02,0,0,0,0,5.46,0,2.19,2.19,0
108-118,0,0,0.77,0,1.53,4.6,0,0.77,4.6,1.53,0,3.83,0,0,2.3,0,0.77,9.96,0,39.83,8.43,0,0,0,0,6.13,0,3.83,1.53,0.77
120,0,0,0,0,0,3.92,0,0,9.8,1.96,0,1.96,0,0,0,0,0,7.84,0,35.28,9.8,0,0,0,0,5.88,0,3.92,0,0
