stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,3,1,3,0,1,1,1,0,4,36,1,0,0,1,6,8,0,0
 24-34,0.82,0.82,0.82,6.57,0,0.82,0,4.1,0,0.82,28.73,0,0,0,0,1.64,9.85,0,2.46
 36-46,0,0,0,4.83,0,1.61,0,2.42,0,0.81,17.72,0,0,0,0,0,4.83,0,0
 48-58,0,0.57,0,2.87,0,1.72,0,6.89,0,0.57,5.16,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,0.98,0,0,3.93,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,2.94,2.94,0,2.94,0,0,5.89,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0,1.53,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0
