stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,3.28,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,3.22,0,0,4.03,0,0,0.81,0
 48-58,0,0,0,0,4.02,0,0,0.57,0,0,0,0,1.15,0,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,3.93,0.98,0,0,0,0,0,0,0,4.91,0.98,0.98,0,0,9.82,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,0,0,9.82,0,4.91,0,0.98,24.54,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,0,7.43,0,0,0,0,22.3,0,0,0,0
 96-106,0,0,0,1.09,3.28,1.09,2.19,0,0,0,1.09,0,12.02,0,6.56,0,0,53.55,0,0,1.09,1.09
108-118,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,7.66,0.77,3.83,0,0,45.19,0,0.77,0,0.77
120,0,0,0,3.92,1.96,0,0,1.96,0,0,0,0,17.64,0,0,0,1.96,60.75,0,0,0,0
