stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,0,0,1,0,1
 24-34,0,0.82,0,0,0,0,0,0,2.46,0,0,0,1.64,0.82,0,0,0,81.26,0,3.28,0,2.46,0.82,30.37,0,0,0.82,0,0.82
 36-46,0,0,0,5.64,0.81,0,0,0.81,2.42,0,0,0,0.81,0,0,0,0.81,185.3,0,1.61,0,0,0,44.31,0,0,0,0,1.61
 48-58,0,0.57,1.72,22.38,4.02,0,0,0,2.3,0,0,0,1.15,1.15,0,0,0.57,236.98,0,0.57,0,0.57,0,40.17,0,0.57,0,0,0.57
 60-70,0,1.96,0.98,62.82,3.93,0,0.98,0,8.83,0,0,0,0,5.89,0,0,0,347.46,0,0.98,0.98,0.98,0.98,42.21,0.98,0,1.96,0,2.94
 72-82,0,0.98,0,98.17,6.87,0.98,0,0,5.89,0,0,0,0,5.89,0.98,0,0,282.72,0,1.96,0,0,0,17.67,0,0,1.96,1.96,4.91
 84-94,0,0,1.06,66.91,6.37,2.12,0,0,10.62,0,0,0,2.12,4.25,0,1.06,1.06,141.25,0,0,0,0,1.06,12.74,1.06,0,0,0,0
 96-106,0,0,2.19,46.99,12.02,1.09,0,0,7.65,1.09,1.09,1.09,0,3.28,0,1.09,0,115.84,0,1.09,1.09,1.09,0,3.28,0,0,1.09,1.09,0
108-118,0,0.77,1.53,36,6.89,0.77,0,0,11.49,1.53,0.77,0,1.53,3.06,0,0,0,127.15,0,0.77,0,2.3,0,4.6,0.77,0,0.77,0,0.77
120,0,0,1.96,31.36,3.92,5.88,0,0,11.76,0,0,0,0,7.84,0,0,0,137.18,0,3.92,0,1.96,0,7.84,0,0,0,0,0
