stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,19,0,0,0,0,0,1,0,1,0,0,5,7,0,0,1,0,0
 24-34,0,0,0,4.1,1.64,0,3.28,0,2.46,0,1.64,0,0,0.82,0,0.82,0,0.82,0,0,7.39,0,0,7.39,56.64,1.64,0.82,0,0,0,4.93,0,0,0,0.82,0.82,20.52,0,0,3.28,0,0.82
 36-46,0,0.81,0,1.61,0,0,11.28,0,0.81,0.81,2.42,0,0,0,0,0,0,0,0,0,8.06,0,0,3.22,70.09,0,1.61,0,0,0,7.25,0,0,0.81,0,0,24.98,0,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,16.64,0,0,0.57,6.31,0,0,1.15,0,0,0,0.57,0,0.57,6.89,0,0,2.3,46.48,0,0,0.57,0,0,2.3,0,0,0,0,0,10.33,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,36.32,0,0,0,10.8,0,0,0,0,0,0,0.98,0,0,20.61,0,2.94,0.98,59.87,0,0,0.98,0,0,4.91,0,0,0.98,0,0,13.74,0,0,0.98,0,0
 72-82,0,2.94,0,3.93,8.83,0,35.34,0.98,0,0.98,17.67,0.98,0,0,3.93,0.98,0,0,0,0,24.54,0,0.98,0,55.95,0,2.94,1.96,0,0,2.94,0,0,0,0,0,7.85,0,0.98,2.94,0,0
 84-94,0,0,0,5.31,2.12,0,21.24,0,1.06,0,8.5,2.12,1.06,0,1.06,0,0,0,0,2.12,18.05,0,1.06,4.25,47.79,1.06,2.12,1.06,0,1.06,13.81,0,0,1.06,1.06,0,3.19,0,0,3.19,0,1.06
 96-106,0,2.19,0,4.37,5.46,0,21.86,3.28,0,1.09,6.56,1.09,0,0,3.28,2.19,1.09,1.09,2.19,0,9.84,1.09,0,1.09,46.99,0,1.09,2.19,0,1.09,13.11,0,0,0,0,0,2.19,1.09,0,3.28,1.09,0
108-118,0,0,0,13.02,2.3,0.77,23.74,0,2.3,0.77,3.06,1.53,0,0,3.06,0.77,1.53,1.53,0.77,0.77,16.09,1.53,0,2.3,39.06,0,0,1.53,0,0,9.96,0,0,0,0,0,0,0,0.77,1.53,0,0.77
120,0,0,0,11.76,0,0,9.8,0,0,0,9.8,3.92,0,1.96,5.88,1.96,1.96,1.96,0,0,13.72,0,1.96,0,27.44,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,3.92,0,0
