stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,6,0,1,0,0,0,12,0,0,0,0,0,1,1,3,14,0
 24-34,0,0,0,0,0.82,0,1.64,0,0.82,0,0,0.82,17.24,0,2.46,0.82,0,0.82,0,0,0.82,6.57,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,9.67,0,4.03,1.61,0,0.81,0,0,0.81,4.83,0
 48-58,0,0,0,0,5.74,0.57,2.3,0,0.57,0,0,0,17.21,0,1.72,0,0,0,0,0,0,8.03,0
 60-70,0,0,0,0,24.54,0,5.89,0.98,1.96,0.98,0,0,12.76,0,1.96,2.94,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,25.52,0,2.94,0,2.94,0,0,0,10.8,0,1.96,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,2.12,19.12,0,2.12,0,1.06,0,0,0,7.43,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,14.21,0,2.19,1.09,3.28,0,1.09,0,9.84,0,2.19,1.09,0,0,0,0,0,3.28,1.09
108-118,0,0,0.77,0,25.28,0,2.3,1.53,3.06,0,0,0.77,9.96,0,1.53,3.06,0,0,0,0,0.77,0.77,0
120,0,0,0,0,21.56,0,1.96,1.96,0,0,0,0,17.64,0,5.88,7.84,0,0,0,0,0,1.96,0
