stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,6
 24-34,0,0,0.82,0,0,188.8,0,0,0,0.82,0,0,0,0,0,0,0.82,4.93,0.82,0,0,0,21.34,0,0.82,0,0,0,0.82,0,4.1,0,0,0.82,0,19.7
 36-46,0,0,0.81,0.81,0,148.24,0,0,0,0.81,0,0,0,0,0,0,0,11.28,0.81,0,0,1.61,21.75,0,0,0,0,0,0.81,0,4.03,0,0,1.61,0,7.25
 48-58,0.57,0,2.3,0.57,0,164.68,0.57,0,0,2.87,0,0,0,0,0,0,0,9.75,5.74,0.57,0,0,35,0,0,0,0,0,0.57,0.57,7.46,0,0,0,0,4.59
 60-70,0,0,1.96,0,0,195.32,0,0.98,0.98,13.74,0,0,1.96,0,0,0,0.98,0.98,9.82,0,0,0,53,0,0,0,0,3.93,0,0,7.85,0,0,0,0,4.91
 72-82,0,0,2.94,1.96,0,147.25,0,0.98,0.98,12.76,0.98,0,0,0,0,0,0.98,0,18.65,0,0,0.98,40.25,0,0.98,2.94,0,0,0,0,3.93,0,0.98,1.96,1.96,0.98
 84-94,0,0,3.19,0,0,266.57,0,1.06,0,4.25,0,0,1.06,2.12,0,0,0,1.06,16.99,1.06,0,2.12,31.86,1.06,1.06,1.06,0,7.43,0,1.06,5.31,0,0,1.06,0,2.12
 96-106,0,0,5.46,4.37,1.09,226.22,0,0,1.09,12.02,2.19,0,2.19,0,0,0,1.09,1.09,17.49,0,1.09,1.09,36.06,0,1.09,0,0,8.74,0,1.09,1.09,2.19,1.09,4.37,1.09,0
108-118,0,0,0.77,0.77,0,231.32,0,0.77,0.77,4.6,1.53,0,1.53,0,1.53,0,0,0,21.45,0,0,1.53,26.81,0,0.77,4.6,0,6.13,0,0,0.77,0,0.77,0.77,0,2.3
120,0,0,0,0,0,88.19,0,0,1.96,1.96,1.96,0,0,0,1.96,1.96,0,0,7.84,0,1.96,0,19.6,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0
