stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,619.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,21.03,0,21.03,0,2.63,0,26.29,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,257.61,10.51,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,6.29,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,0,0,0,78.67,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,14,19,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,2,344,1,0,0,3,0,20,0,0,5,26,0,0,9,0,0
 24-34,0,0,0,0.82,9.03,4.1,0,114.1,0,1.64,1.64,3.28,0.82,0,0,1.64,0.82,0,0.82,0,0,16.42,0,0,9.03,244.62,2.46,0.82,1.64,0,13.13,0.82,1.64,0,4.93,43.51,0,0,29.55,0,0.82
 36-46,0,0,0,0,6.45,1.61,0,160.33,0.81,0,0.81,10.47,0,0,0,0,0.81,1.61,0.81,0.81,0.81,28.2,0,0,7.25,260.23,4.03,2.42,0,0,9.67,0,0,0,0,57.2,0,0,18.53,0,4.03
 48-58,0,0,0,0,1.15,0,0,156.07,0.57,0,1.15,13.2,0,0,0.57,0.57,0.57,0,0,0.57,0,22.38,0,0.57,2.87,129.11,1.15,0,0,0,5.74,0,0.57,0,0,37.3,0,0,10.9,0,1.72
 60-70,0,0,0,0,2.94,0,0,167.84,0,2.94,0.98,3.93,0,0,0,0.98,0,1.96,0.98,0,0,28.46,0,1.96,1.96,123.67,0,0.98,0,0,9.82,0,0,0.98,0,19.63,0,0.98,6.87,0,0.98
 72-82,0,0,0.98,0,0.98,2.94,0.98,131.54,0,0,1.96,7.85,0,0,0,1.96,0.98,1.96,0,1.96,0,33.38,0,0.98,0,71.66,0,0.98,0.98,0,3.93,0,0,0,0,4.91,1.96,1.96,9.82,0.98,0.98
 84-94,0,0,0,0,3.19,2.12,0,126.38,0,0,0,3.19,2.12,0,2.12,1.06,1.06,1.06,0,2.12,0,14.87,0,0,0,43.54,0,1.06,2.12,0,1.06,0,0,0,0,1.06,0,1.06,8.5,0,1.06
 96-106,0,0,0,0,3.28,6.56,1.09,101.63,0,0,0,6.56,1.09,0,1.09,1.09,0,0,0,2.19,0,25.14,0,0,1.09,18.58,0,0,1.09,0,4.37,0,0,0,0,0,1.09,1.09,4.37,1.09,3.28
108-118,0,0,0.77,0,6.13,3.06,2.3,133.28,0,1.53,0,10.72,1.53,0,0,3.06,0,1.53,0,0,0,37.53,0,0.77,5.36,68.17,0,0.77,1.53,0,10.72,0,0.77,0.77,0,2.3,0,0.77,7.66,2.3,0.77
120,0,0,0,0,7.84,0,0,111.71,0,1.96,1.96,7.84,1.96,0,0,5.88,0,1.96,0,1.96,0,23.52,1.96,0,1.96,41.16,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
