stage,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,neural,olfactory,pericytes,periderm,spinal.cord,taste
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0.81,0,0,0,1.61,0
 48-58,0,0.57,0.57,3.44,0,0.57,1.15,0,0,0,1.15,0
 60-70,0,0,0,2.94,0.98,0.98,5.89,0,0,0,0,0
 72-82,0.98,2.94,0,32.39,0,0,3.93,0,0,0,0,0.98
 84-94,0,4.25,0,7.43,0,0,1.06,0,1.06,0,1.06,0
 96-106,0,3.28,0,16.39,0,0,0,1.09,0,0,0,0
108-118,0,0.77,0,9.96,0,0.77,1.53,0,0,0.77,0,0
120,0,5.88,0,3.92,0,0,3.92,0,0,0,0,0
