stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,neural,spinal.cord,taste
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,1.64,0.82,0
 36-46,2.42,0,0.81,0.81,0,0,0,0,0.81,0.81,0
 48-58,0.57,0,0.57,0,0.57,0,0,0,0.57,1.15,0
 60-70,0.98,0,0.98,0,0,0,0,0,3.93,0,0
 72-82,1.96,0,0,0,0,0,0,0,3.93,0,0.98
 84-94,1.06,0,0,0,0,0,0,0,2.12,0,0
 96-106,4.37,0,0,0,0,0,0,0,0,0,0
108-118,2.3,0.77,0,0,0,0.77,0,0.77,0,0,0
120,3.92,0,0,0,0,0,0,0,0,0,0
