stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,42.06,0,21.03,0,0,0,0,0
 10-12,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,31.47,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,0,0,0,1,2,0,11,0,0,3,0,4,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,1.64,0,21.34,0,0,0,0.82,4.1,0,0.82
 36-46,0,0,0,0.81,2.42,0,0.81,0,0,0,0,0.81,0,8.06,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,4.02,1.15,0,0,0,0,0,1.72,0,6.89,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0.98,0,0,0,0,0,0,0.98,4.91,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,2.12,0,0,0,1.06,0,2.12,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,1.09,1.09,0,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
