stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,2,14,0,70,1,0,0,1,0,0
 24-34,0,1.64,1.64,0,0,0,3.28,0.82,3.28,0,9.85,2.46,0,200.29,0,0,0.82,0.82,0,0
 36-46,0,0.81,1.61,0.81,0,0,1.61,0,0,0,4.03,1.61,0,166.77,0,0.81,0,3.22,0,0
 48-58,0,0,2.3,1.15,0,0,4.59,0,1.15,0,3.44,0.57,1.15,101.56,0,0,0,0.57,0,0
 60-70,0,2.94,0,0.98,0,0,0.98,0,0,0.98,2.94,0,0.98,93.24,0,0,0,0.98,0,0
 72-82,0,7.85,0.98,1.96,0,1.96,3.93,0.98,2.94,0,4.91,0,0,95.22,0,0,0,0,0.98,0.98
 84-94,0,18.05,4.25,2.12,0,1.06,9.56,0,5.31,0,1.06,0,0,269.76,0,0,0,0,1.06,0
 96-106,0,33.88,6.56,7.65,0,2.19,15.3,2.19,3.28,0,2.19,0,2.19,259,0,0,0,0,1.09,0
108-118,0,34.47,1.53,3.83,1.53,3.06,10.72,0,5.36,0,4.6,0,0,167.75,0,0,0,0,1.53,0
120,0,27.44,0,15.68,0,3.92,7.84,1.96,7.84,0,0,0,1.96,137.18,0,0,0,0,0,0
